Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Appikatla,KRISHNA,PEDAPARUPUDI - 5136,Appikatla,Soil Health Card RKVY,2025-26,0,0,100,100,0,0,100,0,0,92.11,7.89,0,0,0,100,100,0,100,0,0,100,0,100,100,0,68.42,31.58,76.32,23.68
Bhushanagulla (R),KRISHNA,PEDAPARUPUDI - 5136,Bhushanagulla (R),Soil Health Card RKVY,2025-26,0,5,95,72.5,27.5,0,100,0,0,90,7.5,2.5,0,0,100,100,0,100,0,72.5,27.5,0,100,100,0,70,30,100,0
Chinaparupudi,KRISHNA,PEDAPARUPUDI - 5136,Chinaparupudi,Soil Health Card RKVY,2025-26,0,0,100,100,0,0,83.78,10.81,5.41,70.27,24.32,5.41,0,0,100,100,0,100,0,0,100,0,100,100,0,64.86,35.14,75.68,24.32
Edulamaddali,KRISHNA,PEDAPARUPUDI - 5136,Edulamaddali,Soil Health Card RKVY,2025-26,0,0,100,90,10,0,100,0,0,86,6,8,0,0,100,100,0,100,0,0,100,2,98,100,0,56,44,92,8
Elamarru,KRISHNA,PEDAPARUPUDI - 5136,Elamarru,Soil Health Card RKVY,2025-26,0,3.77,96.23,91.51,8.49,0,95.28,4.72,0,85.85,9.43,4.72,0,0,100,100,0,100,0,3.77,96.23,0,100,100,0,68.87,31.13,52.83,47.17
Gurivindagunta,KRISHNA,PEDAPARUPUDI - 5136,Gurivindagunta,Soil Health Card RKVY,2025-26,0,0,100,80.56,19.44,0,91.67,8.33,0,86.11,8.33,5.56,0,0,100,100,0,100,0,44.44,55.56,0,100,100,0,86.11,13.89,94.44,5.56
Juvvanapudi,KRISHNA,PEDAPARUPUDI - 5136,Juvvanapudi,Soil Health Card RKVY,2025-26,0,0,100,100,0,0,93.94,6.06,0,87.88,12.12,0,0,0,100,100,0,100,0,0,100,3.03,96.97,100,0,69.7,30.3,57.58,42.42
Kornipadu,KRISHNA,PEDAPARUPUDI - 5136,Kornipadu,Soil Health Card RKVY,2025-26,0,3.03,96.97,100,0,0,96.97,3.03,0,0,6.06,93.94,6.06,0,93.94,100,0,100,0,51.52,48.48,0,100,100,0,60.61,39.39,60.61,39.39
Maheswarapuram,KRISHNA,PEDAPARUPUDI - 5136,Maheswarapuram,Soil Health Card RKVY,2025-26,0,5.41,94.59,89.19,10.81,0,100,0,0,91.89,5.41,2.7,0,0,100,100,0,100,0,43.24,56.76,0,100,100,0,86.49,13.51,78.38,21.62
Moparru,KRISHNA,PEDAPARUPUDI - 5136,Moparru,Soil Health Card RKVY,2025-26,0,6.67,93.33,100,0,0,96.67,3.33,0,63.33,30,6.67,0,0,100,100,0,100,0,0,100,0,100,100,0,80,20,93.33,6.67
Pamulapadu,KRISHNA,PEDAPARUPUDI - 5136,Pamulapadu,Soil Health Card RKVY,2025-26,0,2.63,97.37,65.79,34.21,0,100,0,0,85.53,13.16,1.32,0,0,100,100,0,100,0,63.16,36.84,0,100,100,0,81.58,18.42,100,0
Pedaparupudi,KRISHNA,PEDAPARUPUDI - 5136,Pedaparupudi,Soil Health Card RKVY,2025-26,0,0,100,92,8,0,100,0,0,82,18,0,0,0,100,100,0,100,0,0,100,0,100,100,0,68,32,66,34
Ravulapadu,KRISHNA,PEDAPARUPUDI - 5136,Ravulapadu,Soil Health Card RKVY,2025-26,0,2.86,97.14,100,0,0,94.29,5.71,0,2.86,11.43,85.71,0,0,100,100,0,100,0,17.14,82.86,0,100,100,0,45.71,54.29,62.86,37.14
Somavarappadu,KRISHNA,PEDAPARUPUDI - 5136,Somavarappadu,Soil Health Card RKVY,2025-26,0,10.53,89.47,78.95,21.05,0,100,0,0,100,0,0,10.53,0,89.47,100,0,100,0,94.74,5.26,0,100,100,0,31.58,68.42,100,0
Vanapamula,KRISHNA,PEDAPARUPUDI - 5136,Vanapamula,Soil Health Card RKVY,2025-26,0,5.26,94.74,100,0,0,100,0,0,0,0,100,2.63,0,97.37,100,0,100,0,26.32,73.68,0,100,100,0,34.21,65.79,47.37,52.63
Ventrapragada,KRISHNA,PEDAPARUPUDI - 5136,Ventrapragada,Soil Health Card RKVY,2025-26,0,3.63,96.37,81.35,18.65,0,88.08,11.92,0,36.79,18.13,45.08,3.63,0,96.37,100,0,100,0,65.8,34.2,0.52,99.48,92.23,7.77,47.67,52.33,60.1,39.9
Vinjarampadu,KRISHNA,PEDAPARUPUDI - 5136,Vinjarampadu,Soil Health Card RKVY,2025-26,0,0,100,91.67,8.33,0,97.92,2.08,0,70.83,20.83,8.33,0,0,100,100,0,100,0,0,100,0,100,100,0,66.67,33.33,70.83,29.17
Zamidintakurru,KRISHNA,PEDAPARUPUDI - 5136,Zamidintakurru,Soil Health Card RKVY,2025-26,0,2.5,97.5,95,5,0,100,0,0,92.5,7.5,0,5,0,95,100,0,100,0,100,0,0,100,100,0,87.5,12.5,100,0
