Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Chodavaram,KRISHNA,PENAMALURU - 5137,Chodavaram,Soil Health Card RKVY,2025-26,0,0,100,18.6,74.42,6.98,0,0,100,39.53,30.23,30.23,0,0,100,100,0,100,0,4.65,95.35,16.28,83.72,97.67,2.33,4.65,95.35,37.21,62.79
Ganguru (OG),KRISHNA,PENAMALURU - 5137,Ganguru (OG),Soil Health Card RKVY,2025-26,0,0,100,4.55,90.91,4.55,0,0,100,40.91,31.82,27.27,0,0,100,100,0,100,0,0,100,9.09,90.91,100,0,4.55,95.45,40.91,59.09
Gosala,KRISHNA,PENAMALURU - 5137,Gosala,Soil Health Card RKVY,2025-26,0,0,100,29.41,64.71,5.88,0,0,100,47.06,23.53,29.41,0,0,100,100,0,100,0,0,100,0,100,94.12,5.88,11.76,88.24,23.53,76.47
Kanuru (CT),KRISHNA,PENAMALURU - 5137,Kanuru (CT),Soil Health Card RKVY,2025-26,0,0,100,16.67,83.33,0,0,0,100,25,41.67,33.33,0,0,100,100,0,100,0,0,100,16.67,83.33,100,0,8.33,91.67,41.67,58.33
Pedapulipaka,KRISHNA,PENAMALURU - 5137,Pedapulipaka,Soil Health Card RKVY,2025-26,0,0,100,23.08,74.36,2.56,0,0,100,56.41,17.95,25.64,0,0,100,100,0,100,0,0,100,23.08,76.92,97.44,2.56,5.13,94.87,43.59,56.41
Penamaluru (OG),KRISHNA,PENAMALURU - 5137,Penamaluru (OG),Soil Health Card RKVY,2025-26,0,0,100,27.66,72.34,0,0,0,100,51.06,19.15,29.79,0,0,100,100,0,97.87,2.13,2.13,97.87,14.89,85.11,95.74,4.26,4.26,95.74,51.06,48.94
Poranki (CT),KRISHNA,PENAMALURU - 5137,Poranki (CT),Soil Health Card RKVY,2025-26,0,0,100,26.32,68.42,5.26,0,0,100,47.37,26.32,26.32,0,0,100,100,0,100,0,0,100,15.79,84.21,97.37,2.63,2.63,97.37,34.21,65.79
Tadigadapa (CT),KRISHNA,PENAMALURU - 5137,Tadigadapa (CT),Soil Health Card RKVY,2025-26,0,0,100,23.08,76.92,0,0,0,100,48.72,25.64,25.64,0,0,100,100,0,100,0,2.56,97.44,7.69,92.31,100,0,7.69,92.31,41.03,58.97
Vanukuru,KRISHNA,PENAMALURU - 5137,Vanukuru,Soil Health Card RKVY,2025-26,0,0,100,34,66,0,0,0,100,42.86,22.45,34.69,0,0,100,100,0,100,0,2,98,6,94,96,4,8,92,38,62
Yenamalakuduru (CT),KRISHNA,PENAMALURU - 5137,Yenamalakuduru (CT),Soil Health Card RKVY,2025-26,0,0,100,16.67,83.33,0,0,0,100,16.67,50,33.33,0,0,100,100,0,100,0,8.33,91.67,33.33,66.67,100,0,16.67,83.33,41.67,58.33
