Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Challapalle,KRISHNA,CHALLAPALLI - 5104,Challapalle,Soil Health Card RKVY,2025-26,0,0,100,7.14,68.57,24.29,0,88.57,11.43,17.14,60,22.86,30,0,70,100,0,90,10,0,100,28.57,71.43,100,0,10,90,2.86,97.14
Lakshmipuram,KRISHNA,CHALLAPALLI - 5104,Lakshmipuram,Soil Health Card RKVY,2025-26,0,0,100,0,82.26,17.74,0,95.97,4.03,16.13,50.81,33.06,19.35,0,80.65,100,0,96.77,3.23,0,100,61.29,38.71,100,0,45.16,54.84,62.1,37.9
Majeru,KRISHNA,CHALLAPALLI - 5104,Majeru,Soil Health Card RKVY,2025-26,0,0,100,0,85.11,14.89,0,78.72,21.28,13.83,40.43,45.74,0,0,100,100,0,96.81,3.19,0,100,6.38,93.62,100,0,14.89,85.11,0,100
Mangalapuram,KRISHNA,CHALLAPALLI - 5104,Mangalapuram,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,0,100,0,0,80,20,10,0,90,100,0,100,0,0,100,10,90,100,0,30,70,10,90
Nadakuduru,KRISHNA,CHALLAPALLI - 5104,Nadakuduru,Soil Health Card RKVY,2025-26,0,0,100,0,86.84,13.16,0,93.42,6.58,25,63.16,11.84,2.63,0,97.37,100,0,97.37,2.63,0,100,25,75,94.74,5.26,26.32,73.68,17.11,82.89
Nimmagadda,KRISHNA,CHALLAPALLI - 5104,Nimmagadda,Soil Health Card RKVY,2025-26,0,0,100,3.23,61.29,35.48,0,16.13,83.87,19.35,35.48,45.16,0,0,100,100,0,100,0,0,100,3.23,96.77,100,0,9.68,90.32,12.9,87.1
Pagolu,KRISHNA,CHALLAPALLI - 5104,Pagolu,Soil Health Card RKVY,2025-26,0,0,100,0,78.33,21.67,0,95,5,6.67,63.33,30,11.67,0,88.33,100,0,91.67,8.33,0,100,15,85,96.67,3.33,20,80,36.67,63.33
Puritigadda,KRISHNA,CHALLAPALLI - 5104,Puritigadda,Soil Health Card RKVY,2025-26,0,0,100,0,76.19,23.81,0,83.33,16.67,11.9,47.62,40.48,4.76,0,95.24,100,0,90.48,9.52,0,100,33.33,66.67,100,0,11.9,88.1,54.76,45.24
Vakkalagadda,KRISHNA,CHALLAPALLI - 5104,Vakkalagadda,Soil Health Card RKVY,2025-26,0,0,100,0,80,20,0,80,20,20,80,0,0,0,100,100,0,100,0,0,100,0,100,100,0,80,20,40,60
Velivolu,KRISHNA,CHALLAPALLI - 5104,Velivolu,Soil Health Card RKVY,2025-26,0,0,100,0,54.88,45.12,0,34.15,65.85,23.17,54.88,21.95,1.22,0,98.78,100,0,95.12,4.88,0,100,4.88,95.12,100,0,7.32,92.68,7.32,92.68
Yarlagadda,KRISHNA,CHALLAPALLI - 5104,Yarlagadda,Soil Health Card RKVY,2025-26,0,0,100,4.48,80.6,14.93,0,67.16,32.84,11.94,61.19,26.87,1.49,0,98.51,100,0,97.01,2.99,0,100,2.99,97.01,100,0,17.91,82.09,0,100
