Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Amudalapalle,KRISHNA,BANTUMILLI - 5102,Amudalapalle,Soil Health Card RKVY,2025-26,0,2.44,97.56,2.44,60.98,36.59,0,0,100,29.27,17.07,53.66,0,0,100,100,0,100,0,21.95,78.05,93.94,6.06,100,0,43.9,56.1,94.87,5.13
Arthamuru,KRISHNA,BANTUMILLI - 5102,Arthamuru,Soil Health Card RKVY,2025-26,0,2.08,97.92,0,70.83,29.17,0,0,100,33.33,19.79,46.88,0,0,100,100,0,96.88,3.13,29.41,70.59,77.11,22.89,100,0,1.04,98.96,97.73,2.27
Bantumilli,KRISHNA,BANTUMILLI - 5102,Bantumilli,Soil Health Card RKVY,2025-26,0,0,100,4.17,83.33,12.5,0,0,100,12.5,58.33,29.17,0,0,100,100,0,91.67,8.33,33.33,66.67,87.5,12.5,100,0,91.67,8.33,95.83,4.17
Barripadu,KRISHNA,BANTUMILLI - 5102,Barripadu,Soil Health Card RKVY,2025-26,0,0,100,0,78.57,21.43,0,0,100,35.71,28.57,35.71,0,0,100,100,0,100,0,28.57,71.43,71.43,28.57,100,0,35.71,64.29,71.43,28.57
Chinatummidi,KRISHNA,BANTUMILLI - 5102,Chinatummidi,Soil Health Card RKVY,2025-26,0,0,100,0,83.78,16.22,0,0,100,51.35,35.14,13.51,0,0,100,100,0,91.89,8.11,41.38,58.62,61.29,38.71,100,0,64.86,35.14,66.67,33.33
Chorampudi,KRISHNA,BANTUMILLI - 5102,Chorampudi,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,0,0,100,0,33.33,66.67,0,0,100,100,0,100,0,33.33,66.67,100,0,100,0,33.33,66.67,0,100
Kanchadam,KRISHNA,BANTUMILLI - 5102,Kanchadam,Soil Health Card RKVY,2025-26,0,1.69,98.31,0,59.32,40.68,0,0,100,20.34,55.93,23.73,0,0,100,96.61,3.39,94.92,5.08,45.24,54.76,73.08,26.92,100,0,0,100,100,0
Korlapadu,KRISHNA,BANTUMILLI - 5102,Korlapadu,Soil Health Card RKVY,2025-26,0,0,100,0,36.36,63.64,0,0,100,0,0,100,0,0,100,100,0,81.82,18.18,18.18,81.82,90.91,9.09,100,0,9.09,90.91,100,0
Maddetipalle,KRISHNA,BANTUMILLI - 5102,Maddetipalle,Soil Health Card RKVY,2025-26,0,0,100,41.67,58.33,0,0,0,100,50,41.67,8.33,0,0,100,100,0,100,0,0,100,100,0,100,0,50,50,0,0
Malleswaram,KRISHNA,BANTUMILLI - 5102,Malleswaram,Soil Health Card RKVY,2025-26,0,0,100,0,42.11,57.89,0,0,100,5.26,0,94.74,0,0,100,100,0,94.74,5.26,20,80,64.29,35.71,100,0,10.53,89.47,100,0
