Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Avurupudi,KRISHNA,MOVVA - 5125,Avurupudi,Soil Health Card RKVY,2025-26,0,2.35,97.65,1.18,87.06,11.76,0,0,100,15.29,65.88,18.82,0,0,100,100,0,98.82,1.18,5.95,94.05,56.47,43.53,96.47,3.53,10.59,89.41,61.18,38.82
Ayyanki,KRISHNA,MOVVA - 5125,Ayyanki,Soil Health Card RKVY,2025-26,0,1.06,98.94,1.06,97.87,1.06,0,0,100,13.83,64.89,21.28,0,0,100,100,0,97.87,2.13,6.38,93.62,14.29,85.71,97.87,2.13,0,100,32.98,67.02
Bhatla Penumarru,KRISHNA,MOVVA - 5125,Bhatla Penumarru,Soil Health Card RKVY,2025-26,0,1.22,98.78,9.76,86.59,3.66,0,0,100,12.2,48.78,39.02,0,0,100,100,0,95.12,4.88,1.22,98.78,13.41,86.59,100,0,0,100,0,100
Chinamuttevi,KRISHNA,MOVVA - 5125,Chinamuttevi,Soil Health Card RKVY,2025-26,0,1.33,98.67,0,86.67,13.33,0,0,100,18.67,60,21.33,0,0,100,100,0,96,4,0,100,29.33,70.67,98.67,1.33,13.33,86.67,73.33,26.67
Gudapadu,KRISHNA,MOVVA - 5125,Gudapadu,Soil Health Card RKVY,2025-26,0,1.33,98.67,0,96,4,0,0,100,21.33,76,2.67,0,0,100,100,0,97.33,2.67,2.67,97.33,9.46,90.54,97.33,2.67,0,100,25.33,74.67
Kaza,KRISHNA,MOVVA - 5125,Kaza,Soil Health Card RKVY,2025-26,0,1.16,98.84,2.89,89.6,7.51,0,0,100,15.03,64.16,20.81,0,0,100,99.42,0.58,96.53,3.47,16.28,83.72,8.14,91.86,94.8,5.2,31.79,68.21,19.08,80.92
Kosuru,KRISHNA,MOVVA - 5125,Kosuru,Soil Health Card RKVY,2025-26,0,1.71,98.29,0.85,80.34,18.8,0,0,100,17.09,56.41,26.5,0,0,100,100,0,97.44,2.56,11.21,88.79,21.55,78.45,98.29,1.71,8.55,91.45,26.5,73.5
Kuchipudi,KRISHNA,MOVVA - 5125,Kuchipudi,Soil Health Card RKVY,2025-26,0,1.45,98.55,27.54,72.46,0,0,0,100,23.19,60.87,15.94,0,0,100,100,0,94.2,5.8,1.45,98.55,21.74,78.26,98.55,1.45,0,100,68.12,31.88
Movva,KRISHNA,MOVVA - 5125,Movva,Soil Health Card RKVY,2025-26,0,1.72,98.28,25.86,74.14,0,0,0,100,13.79,56.9,29.31,0,0,100,99.14,0.86,93.97,6.03,24.14,75.86,25.66,74.34,99.14,0.86,0.86,99.14,35.34,64.66
Nidumolu,KRISHNA,MOVVA - 5125,Nidumolu,Soil Health Card RKVY,2025-26,0,1.79,98.21,0,80.95,19.05,0,0,100,14.88,57.74,27.38,0,0,100,100,0,98.21,1.79,0,100,4.17,95.83,99.4,0.6,0,100,53.57,46.43
Pedamuttevi,KRISHNA,MOVVA - 5125,Pedamuttevi,Soil Health Card RKVY,2025-26,0,1.71,98.29,5.13,76.92,17.95,0,0,100,11.11,47.86,41.03,0,0,100,100,0,94.87,5.13,0,100,31.62,68.38,97.44,2.56,41.88,58.12,12.82,87.18
Pedapudi,KRISHNA,MOVVA - 5125,Pedapudi,Soil Health Card RKVY,2025-26,0,2.08,97.92,31.25,62.5,6.25,0,0,100,14.58,75,10.42,0,0,100,100,0,91.67,8.33,0,100,29.79,70.21,100,0,2.08,97.92,16.67,83.33
Pedasanagallu,KRISHNA,MOVVA - 5125,Pedasanagallu,Soil Health Card RKVY,2025-26,0,2.41,97.59,7.23,83.13,9.64,0,0,100,15.66,61.45,22.89,0,0,100,100,0,100,0,0,100,3.7,96.3,100,0,0,100,18.07,81.93
Vemulamada,KRISHNA,MOVVA - 5125,Vemulamada,Soil Health Card RKVY,2025-26,0,1.32,98.68,14.47,81.58,3.95,0,0,100,17.11,60.53,22.37,0,0,100,100,0,97.37,2.63,1.32,98.68,17.33,82.67,98.68,1.32,19.74,80.26,26.32,73.68
Yaddanapudi,KRISHNA,MOVVA - 5125,Yaddanapudi,Soil Health Card RKVY,2025-26,0,0,100,0,87.5,12.5,0,0,100,25,37.5,37.5,0,0,100,100,0,100,0,0,100,6.25,93.75,100,0,18.75,81.25,75,25
