Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Amudalapalle,KRISHNA,UNGUTURU - 5142,Amudalapalle,Soil Health Card RKVY,2025-26,0,0,100,0,97.06,2.94,0,0,100,0,97.06,2.94,0,0,100,100,0,97.06,2.94,0,100,26.47,73.53,100,0,14.71,85.29,0,100
Atkuru,KRISHNA,UNGUTURU - 5142,Atkuru,Soil Health Card RKVY,2025-26,0,0,100,6.06,84.85,9.09,0,0,100,18.18,49.49,32.32,0,0,100,100,0,96.97,3.03,0,100,15.15,84.85,98.99,1.01,35.35,64.65,44.44,55.56
Bokinala,KRISHNA,UNGUTURU - 5142,Bokinala,Soil Health Card RKVY,2025-26,0,0,100,0,0,100,0,0,100,100,0,0,0,0,100,100,0,100,0,0,100,0,100,100,0,0,100,100,0
Chagantipadu,KRISHNA,UNGUTURU - 5142,Chagantipadu,Soil Health Card RKVY,2025-26,0,0,100,0,89.09,10.91,0,0,100,16.36,72.73,10.91,0,0,100,100,0,100,0,0,100,16.36,83.64,94.55,5.45,20,80,20,80
Dibbanapudi,KRISHNA,UNGUTURU - 5142,Dibbanapudi,Soil Health Card RKVY,2025-26,0,0,100,0,95,5,0,0,100,10,85,5,0,0,100,100,0,100,0,0,100,10,90,100,0,30,70,40,60
Elukapadu,KRISHNA,UNGUTURU - 5142,Elukapadu,Soil Health Card RKVY,2025-26,0,0,100,0,89.19,10.81,0,0,100,13.51,78.38,8.11,0,0,100,100,0,100,0,0,100,29.73,70.27,100,0,54.05,45.95,0,100
Garapadu,KRISHNA,UNGUTURU - 5142,Garapadu,Soil Health Card RKVY,2025-26,0,0,100,0,85.71,14.29,0,0,100,7.14,75,17.86,0,0,100,100,0,100,0,0,100,21.43,78.57,100,0,7.14,92.86,57.14,42.86
Indupalle,KRISHNA,UNGUTURU - 5142,Indupalle,Soil Health Card RKVY,2025-26,0,0,100,1.85,87.04,11.11,0,0,100,6.48,68.52,25,0,0,100,100,0,98.15,1.85,0,100,25,75,96.3,3.7,11.11,88.89,0,100
Koyyagurapadu,KRISHNA,UNGUTURU - 5142,Koyyagurapadu,Soil Health Card RKVY,2025-26,0,0,100,0,85,15,0,0,100,10,65,25,0,0,100,100,0,90,10,0,100,25,75,80,20,5,95,10,90
Lankapalle Agraharam,KRISHNA,UNGUTURU - 5142,Lankapalle Agraharam,Soil Health Card RKVY,2025-26,0,0,100,0,90.48,9.52,0,0,100,14.29,71.43,14.29,0,0,100,100,0,95.24,4.76,0,100,33.33,66.67,100,0,0,100,76.19,23.81
Madhirapadu,KRISHNA,UNGUTURU - 5142,Madhirapadu,Soil Health Card RKVY,2025-26,0,0,100,0,96.97,3.03,0,0,100,15.15,78.79,6.06,0,0,100,100,0,100,0,0,100,39.39,60.61,96.97,3.03,0,100,57.58,42.42
Manikonda,KRISHNA,UNGUTURU - 5142,Manikonda,Soil Health Card RKVY,2025-26,0,0,100,0,79.81,20.19,0,0,100,3.85,74.04,22.12,0,0,100,100,0,100,0,0,100,25,75,94.23,5.77,88.46,11.54,0,100
Mukkapadu,KRISHNA,UNGUTURU - 5142,Mukkapadu,Soil Health Card RKVY,2025-26,0,0,100,3.45,75.86,20.69,0,0,100,10.34,68.97,20.69,0,0,100,100,0,96.55,3.45,0,100,34.48,65.52,100,0,65.52,34.48,51.72,48.28
Nagavarappadu,KRISHNA,UNGUTURU - 5142,Nagavarappadu,Soil Health Card RKVY,2025-26,0,0,100,4.35,78.26,17.39,0,0,100,13.04,78.26,8.7,0,0,100,100,0,100,0,0,100,34.78,65.22,100,0,0,100,78.26,21.74
Nandamuru,KRISHNA,UNGUTURU - 5142,Nandamuru,Soil Health Card RKVY,2025-26,0,0,100,0,95.59,4.41,0,0,100,22.06,51.47,26.47,0,0,100,98.53,1.47,100,0,0,100,61.76,38.24,98.53,1.47,0,100,4.41,95.59
Ondrampadu,KRISHNA,UNGUTURU - 5142,Ondrampadu,Soil Health Card RKVY,2025-26,0,0,100,0,90.48,9.52,0,0,100,23.81,66.67,9.52,0,0,100,100,0,100,0,0,100,23.81,76.19,100,0,90.48,9.52,0,100
Peda Avutapalle,KRISHNA,UNGUTURU - 5142,Peda Avutapalle,Soil Health Card RKVY,2025-26,0,0,100,0,88.89,11.11,0,0,100,7.07,73.74,19.19,0,0,100,100,0,100,0,0,100,28.28,71.72,95.96,4.04,93.94,6.06,5.05,94.95
Ponukumadu,KRISHNA,UNGUTURU - 5142,Ponukumadu,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,0,0,100,28.57,61.9,9.52,0,0,100,100,0,100,0,0,100,23.81,76.19,100,0,52.38,47.62,0,100
Pottipadu,KRISHNA,UNGUTURU - 5142,Pottipadu,Soil Health Card RKVY,2025-26,0,0,100,0,90.32,9.68,0,0,100,20.43,68.82,10.75,0,0,100,100,0,100,0,0,100,21.51,78.49,100,0,76.34,23.66,15.05,84.95
Tarigoppula,KRISHNA,UNGUTURU - 5142,Tarigoppula,Soil Health Card RKVY,2025-26,0,0,100,0,94.59,5.41,0,0,100,5.41,68.92,25.68,0,0,100,100,0,100,0,0,100,59.46,40.54,90.54,9.46,94.59,5.41,0,100
Tarigoppula Khandrika,KRISHNA,UNGUTURU - 5142,Tarigoppula Khandrika,Soil Health Card RKVY,2025-26,0,0,100,0,88.89,11.11,0,0,100,0,83.33,16.67,0,0,100,100,0,100,0,0,100,61.11,38.89,77.78,22.22,94.44,5.56,0,100
Telaprolu,KRISHNA,UNGUTURU - 5142,Telaprolu,Soil Health Card RKVY,2025-26,0,0,100,0,89.45,10.55,0,0,100,7.59,70.89,21.52,0,0,100,100,0,98.31,1.69,0,100,12.24,87.76,95.36,4.64,37.13,62.87,0,100
Tuttagunta,KRISHNA,UNGUTURU - 5142,Tuttagunta,Soil Health Card RKVY,2025-26,0,0,100,0,81.82,18.18,0,0,100,9.09,59.09,31.82,0,0,100,100,0,100,0,0,100,18.18,81.82,86.36,13.64,9.09,90.91,18.18,81.82
Unguturu,KRISHNA,UNGUTURU - 5142,Unguturu,Soil Health Card RKVY,2025-26,0,0,100,0,94.12,5.88,0,0,100,35.29,55.88,8.82,0,0,100,100,0,100,0,0,100,0,100,100,0,52.94,47.06,0,100
Veldipadu,KRISHNA,UNGUTURU - 5142,Veldipadu,Soil Health Card RKVY,2025-26,0,0,100,0,95.65,4.35,0,0,100,0,86.96,13.04,0,0,100,100,0,91.3,8.7,0,100,21.74,78.26,91.3,8.7,0,100,17.39,82.61
Velinutala,KRISHNA,UNGUTURU - 5142,Velinutala,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,0,0,100,11.54,88.46,0,0,0,100,100,0,96.15,3.85,0,100,15.38,84.62,88.46,11.54,15.38,84.62,26.92,73.08
Vemanda,KRISHNA,UNGUTURU - 5142,Vemanda,Soil Health Card RKVY,2025-26,0,0,100,0,90,10,0,0,100,13.33,46.67,40,0,0,100,100,0,100,0,0,100,26.67,73.33,100,0,100,0,0,100
Vempadu,KRISHNA,UNGUTURU - 5142,Vempadu,Soil Health Card RKVY,2025-26,0,0,100,0,88.57,11.43,0,0,100,14.29,51.43,34.29,0,0,100,100,0,100,0,0,100,22.86,77.14,97.14,2.86,0,100,22.86,77.14
