Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Birudugadda,KRISHNA,GHANTASALA - 5110,Birudugadda,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,0,0,100,100,0,0,0,0,100,100,0,100,0,0,100,0,100,100,0,50,50,0,100
Bollapadu,KRISHNA,GHANTASALA - 5110,Bollapadu,Soil Health Card RKVY,2025-26,0,0,100,35.71,64.29,0,0,0,100,100,0,0,0,0,100,100,0,100,0,0,100,0,100,92.86,7.14,14.29,85.71,7.14,92.86
Chilakalapudi,KRISHNA,GHANTASALA - 5110,Chilakalapudi,Soil Health Card RKVY,2025-26,0,0,100,60.61,39.39,0,0,0,100,100,0,0,0,0,100,100,0,100,0,0,100,0,100,90.91,9.09,33.33,66.67,6.06,93.94
China Kallepalle,KRISHNA,GHANTASALA - 5110,China Kallepalle,Soil Health Card RKVY,2025-26,0,0,100,13.85,80,6.15,3.08,0,96.92,63.08,35.38,1.54,0,0,100,100,0,98.46,1.54,0,100,0,100,90.77,9.23,73.85,26.15,12.31,87.69
Chitturpu,KRISHNA,GHANTASALA - 5110,Chitturpu,Soil Health Card RKVY,2025-26,0,0,100,0,80.9,19.1,0,0,100,70.79,24.72,4.49,0,0,100,100,0,100,0,0,100,0,100,98.88,1.12,66.29,33.71,14.61,85.39
Chitturu,KRISHNA,GHANTASALA - 5110,Chitturu,Soil Health Card RKVY,2025-26,0,0,100,15.15,84.85,0,0,0,100,63.64,27.27,9.09,18.18,0,81.82,100,0,100,0,0,100,0,100,93.94,6.06,63.64,36.36,12.12,87.88
Devarakota,KRISHNA,GHANTASALA - 5110,Devarakota,Soil Health Card RKVY,2025-26,0,0,100,18.18,81.82,0,0,0,100,81.82,18.18,0,0,0,100,100,0,100,0,0,100,0,100,100,0,90.91,9.09,0,100
Elikala Kuduru,KRISHNA,GHANTASALA - 5110,Elikala Kuduru,Soil Health Card RKVY,2025-26,0,0,100,8.7,91.3,0,0,0,100,88.41,10.14,1.45,0,0,100,100,0,100,0,0,100,0,100,92.75,7.25,86.96,13.04,1.45,98.55
Endakuduru,KRISHNA,GHANTASALA - 5110,Endakuduru,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,0,0,100,46.67,33.33,20,13.33,0,86.67,100,0,100,0,0,100,0,100,93.33,6.67,96.67,3.33,6.67,93.33
Ghantasala,KRISHNA,GHANTASALA - 5110,Ghantasala,Soil Health Card RKVY,2025-26,0,0,100,9.52,89.68,0.79,0,0,100,84.13,15.08,0.79,0.79,0,99.21,100,0,100,0,0,100,0,100,95.24,4.76,57.14,42.86,6.35,93.65
Kodali,KRISHNA,GHANTASALA - 5110,Kodali,Soil Health Card RKVY,2025-26,0,0,100,1.14,92.05,6.82,0,0,100,46.59,40.91,12.5,0,0,100,100,0,100,0,0,100,0,100,89.77,10.23,1.14,98.86,6.82,93.18
Kothapalle,KRISHNA,GHANTASALA - 5110,Kothapalle,Soil Health Card RKVY,2025-26,0,0,100,27.5,72.5,0,0,0,100,95,5,0,0,0,100,100,0,100,0,0,100,0,100,90,10,50,50,7.5,92.5
Lankapalle,KRISHNA,GHANTASALA - 5110,Lankapalle,Soil Health Card RKVY,2025-26,0,0,100,12.16,87.84,0,0,0,100,39.19,58.11,2.7,0,0,100,100,0,100,0,0,100,0,100,95.95,4.05,93.24,6.76,2.7,97.3
Mallampalle,KRISHNA,GHANTASALA - 5110,Mallampalle,Soil Health Card RKVY,2025-26,0,0,100,17.65,82.35,0,0,0,100,82.35,17.65,0,0,0,100,100,0,100,0,0,100,0,100,94.12,5.88,82.35,17.65,5.88,94.12
Pushadam,KRISHNA,GHANTASALA - 5110,Pushadam,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,0,0,100,38.1,57.14,4.76,0,0,100,100,0,100,0,0,100,0,100,100,0,57.14,42.86,14.29,85.71
Srikakulam,KRISHNA,GHANTASALA - 5110,Srikakulam,Soil Health Card RKVY,2025-26,0,0,100,0,84.06,15.94,0,0,100,50.72,44.93,4.35,1.45,0,98.55,100,0,100,0,0,100,0,100,92.03,7.97,37.68,62.32,11.59,88.41
Tadepalle,KRISHNA,GHANTASALA - 5110,Tadepalle,Soil Health Card RKVY,2025-26,0,0,100,36.36,63.64,0,0,0,100,100,0,0,0,0,100,100,0,100,0,0,100,0,100,90.91,9.09,54.55,45.45,4.55,95.45
Teluguraopalem,KRISHNA,GHANTASALA - 5110,Teluguraopalem,Soil Health Card RKVY,2025-26,0,0,100,5.68,84.09,10.23,0,0,100,97.73,2.27,0,0,0,100,100,0,98.86,1.14,0,100,0,100,98.86,1.14,65.91,34.09,11.36,88.64
V.Rudravaram,KRISHNA,GHANTASALA - 5110,V.Rudravaram,Soil Health Card RKVY,2025-26,0,0,100,57.14,42.86,0,0,0,100,100,0,0,0,0,100,100,0,100,0,0,100,0,100,100,0,95.24,4.76,0,100
Vemulapalle,KRISHNA,GHANTASALA - 5110,Vemulapalle,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,0,0,100,75,25,0,0,0,100,100,0,100,0,0,100,0,100,100,0,100,0,0,100
