Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Addada,KRISHNA,PAMARRU - 5133,Addada,Soil Health Card RKVY,2025-26,0,100,0,81.25,18.75,0,75,25,0,25,75,0,0,0,100,100,0,100,0,68.75,31.25,12.5,87.5,100,0,18.75,81.25,100,0
Ainampudi,KRISHNA,PAMARRU - 5133,Ainampudi,Soil Health Card RKVY,2025-26,0,96,4,98,2,0,76,22,2,18,78,4,0,0,100,100,0,100,0,56,44,2,98,100,0,22,78,100,0
Jujjavaram,KRISHNA,PAMARRU - 5133,Jujjavaram,Soil Health Card RKVY,2025-26,0,95,5,100,0,0,85,15,0,0,95,5,0,0,100,100,0,100,0,62.5,37.5,0,100,100,0,15,85,100,0
Kanumuru,KRISHNA,PAMARRU - 5133,Kanumuru,Soil Health Card RKVY,2025-26,0,98.55,1.45,91.3,8.7,0,89.86,10.14,0,10.14,88.41,1.45,0,0,100,97.1,2.9,100,0,59.42,40.58,1.45,98.55,100,0,5.8,94.2,100,0
Kapavaram,KRISHNA,PAMARRU - 5133,Kapavaram,Soil Health Card RKVY,2025-26,0,85,15,95,5,0,70,30,0,2.5,75,22.5,0,0,100,75,25,100,0,62.5,37.5,5,95,100,0,10,90,100,0
Komaravolu,KRISHNA,PAMARRU - 5133,Komaravolu,Soil Health Card RKVY,2025-26,0,95.24,4.76,93.65,6.35,0,65.08,34.92,0,7.94,88.89,3.17,4.76,0,95.24,90.48,9.52,100,0,36.51,63.49,1.59,98.41,100,0,17.46,82.54,100,0
Kondiparru,KRISHNA,PAMARRU - 5133,Kondiparru,Soil Health Card RKVY,2025-26,0,100,0,93.33,6.67,0,60,33.33,6.67,20,80,0,3.33,0,96.67,100,0,100,0,66.67,33.33,0,100,100,0,33.33,66.67,100,0
Kurumaddali,KRISHNA,PAMARRU - 5133,Kurumaddali,Soil Health Card RKVY,2025-26,0,82.28,17.72,94.94,5.06,0,65.82,32.91,1.27,6.33,87.34,6.33,0,0,100,100,0,100,0,48.1,51.9,1.27,98.73,100,0,30.38,69.62,100,0
Mallavaram,KRISHNA,PAMARRU - 5133,Mallavaram,Soil Health Card RKVY,2025-26,0,100,0,100,0,0,100,0,0,20,60,20,0,0,100,80,20,100,0,60,40,0,100,100,0,30,70,100,0
Mir Imam Palem,KRISHNA,PAMARRU - 5133,Mir Imam Palem,Soil Health Card RKVY,2025-26,0,100,0,90,10,0,90,10,0,0,90,10,0,0,100,30,70,100,0,60,40,0,100,100,0,40,60,100,0
Nemmikuru,KRISHNA,PAMARRU - 5133,Nemmikuru,Soil Health Card RKVY,2025-26,0,65.79,34.21,84.21,10.53,5.26,76.32,21.05,2.63,0,71.05,28.95,0,0,100,100,0,100,0,34.21,65.79,0,100,100,0,21.05,78.95,100,0
Nibhanupudi,KRISHNA,PAMARRU - 5133,Nibhanupudi,Soil Health Card RKVY,2025-26,0,95.12,4.88,95.12,4.88,0,75.61,24.39,0,0,100,0,0,0,100,100,0,100,0,31.71,68.29,0,100,100,0,21.95,78.05,100,0
