Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Ajjampudi,KRISHNA,GANNAVARAM - 5109,Ajjampudi,Soil Health Card RKVY,2025-26,0,0,100,0,86.36,13.64,0,0,100,59.09,36.36,4.55,4.55,0,95.45,100,0,100,0,50,50,0,100,100,0,13.64,86.36,95.45,4.55
Allapuram,KRISHNA,GANNAVARAM - 5109,Allapuram,Soil Health Card RKVY,2025-26,0,0,100,0,88.89,11.11,0,0,100,33.33,44.44,22.22,0,0,100,100,0,100,0,0,100,11.11,88.89,100,0,0,100,88.89,11.11
Bahubalendrunigudem,KRISHNA,GANNAVARAM - 5109,Bahubalendrunigudem,Soil Health Card RKVY,2025-26,0,0,100,0,85,15,0,0,100,40,30,30,0,0,100,100,0,100,0,0,100,10,90,100,0,25,75,90,10
Balliparru,KRISHNA,GANNAVARAM - 5109,Balliparru,Soil Health Card RKVY,2025-26,0,0,100,0,83.33,16.67,0,0,100,58.33,41.67,0,0,0,100,100,0,100,0,8.33,91.67,25,75,100,0,75,25,100,0
Buddavaram,KRISHNA,GANNAVARAM - 5109,Buddavaram,Soil Health Card RKVY,2025-26,0,0,100,4.11,83.56,12.33,0,0,100,39.73,39.73,20.55,0,0,100,100,0,100,0,0,100,21.92,78.08,100,0,8.22,91.78,98.63,1.37
Buthumillipadu,KRISHNA,GANNAVARAM - 5109,Buthumillipadu,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,0,0,100,10,40,50,0,0,100,100,0,100,0,0,100,30,70,100,0,20,80,100,0
Chikkavaram,KRISHNA,GANNAVARAM - 5109,Chikkavaram,Soil Health Card RKVY,2025-26,0,0,100,4.88,78.05,17.07,0,0,100,21.95,70.73,7.32,0,0,100,100,0,100,0,0,100,29.27,70.73,100,0,7.32,92.68,100,0
China Avutapalle,KRISHNA,GANNAVARAM - 5109,China Avutapalle,Soil Health Card RKVY,2025-26,0,0,100,6.25,87.5,6.25,0,0,100,12.5,81.25,6.25,0,0,100,100,0,100,0,0,100,43.75,56.25,100,0,25,75,100,0
Gannavaram,KRISHNA,GANNAVARAM - 5109,Gannavaram,Soil Health Card RKVY,2025-26,0,0,100,7.14,78.57,14.29,0,0,100,21.43,21.43,57.14,0,0,100,100,0,100,0,0,100,57.14,42.86,100,0,14.29,85.71,100,0
Gollanapalle,KRISHNA,GANNAVARAM - 5109,Gollanapalle,Soil Health Card RKVY,2025-26,0,0,100,6.67,86.67,6.67,0,0,100,33.33,33.33,33.33,0,0,100,100,0,100,0,0,100,46.67,53.33,100,0,60,40,100,0
Gopavarapugudem,KRISHNA,GANNAVARAM - 5109,Gopavarapugudem,Soil Health Card RKVY,2025-26,0,0,100,16.67,66.67,16.67,0,0,100,0,33.33,66.67,0,0,100,100,0,100,0,0,100,50,50,100,0,16.67,83.33,100,0
Jakkulanekkalam,KRISHNA,GANNAVARAM - 5109,Jakkulanekkalam,Soil Health Card RKVY,2025-26,0,0,100,0,82.35,17.65,0,0,100,50,17.65,32.35,0,0,100,100,0,100,0,17.65,82.35,52.94,47.06,100,0,11.76,88.24,97.06,2.94
Kesarapalle,KRISHNA,GANNAVARAM - 5109,Kesarapalle,Soil Health Card RKVY,2025-26,0,0,100,5.94,91.09,2.97,0,0,100,34.65,30.69,34.65,0,0,100,100,0,100,0,8.91,91.09,20.79,79.21,99.01,0.99,0.99,99.01,98.02,1.98
Kondapavuluru,KRISHNA,GANNAVARAM - 5109,Kondapavuluru,Soil Health Card RKVY,2025-26,0,0,100,2.27,90.91,6.82,0,0,100,25,45.45,29.55,0,0,100,100,0,100,0,0,100,4.55,95.45,100,0,2.27,97.73,68.18,31.82
Metlapalle,KRISHNA,GANNAVARAM - 5109,Metlapalle,Soil Health Card RKVY,2025-26,0,0,100,3.23,87.1,9.68,0,0,100,22.58,41.94,35.48,0,0,100,100,0,100,0,0,100,41.94,58.06,100,0,16.13,83.87,83.87,16.13
Purushottapatnam,KRISHNA,GANNAVARAM - 5109,Purushottapatnam,Soil Health Card RKVY,2025-26,0,0,100,0,88.61,11.39,0,0,100,7.59,17.72,74.68,0,0,100,100,0,100,0,0,100,5.06,94.94,100,0,0,100,65.82,34.18
Ramachandrapuram,KRISHNA,GANNAVARAM - 5109,Ramachandrapuram,Soil Health Card RKVY,2025-26,0,0,100,10,60,30,0,0,100,10,40,50,0,0,100,100,0,100,0,0,100,20,80,100,0,0,100,0,100
Sagguruamani,KRISHNA,GANNAVARAM - 5109,Sagguruamani,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,0,0,100,20,40,40,0,0,100,100,0,100,0,0,100,0,100,100,0,0,100,0,100
Savarigudem,KRISHNA,GANNAVARAM - 5109,Savarigudem,Soil Health Card RKVY,2025-26,0,0,100,13.33,83.33,3.33,0,0,100,26.67,53.33,20,0,0,100,50,50,100,0,0,100,0,100,100,0,6.67,93.33,50,50
Surampalle,KRISHNA,GANNAVARAM - 5109,Surampalle,Soil Health Card RKVY,2025-26,0,0,100,6.67,84,9.33,0,0,100,17.33,44,38.67,0,0,100,65.33,34.67,100,0,1.33,98.67,0,100,97.33,2.67,4,96,44,56
Tempalle,KRISHNA,GANNAVARAM - 5109,Tempalle,Soil Health Card RKVY,2025-26,0,0,100,0,95.24,4.76,0,0,100,23.81,28.57,47.62,0,0,100,100,0,100,0,0,100,2.38,97.62,100,0,0,100,57.14,42.86
Vedurupavuluru,KRISHNA,GANNAVARAM - 5109,Vedurupavuluru,Soil Health Card RKVY,2025-26,0,0,100,0.59,82.94,16.47,0,0,100,19.41,45.29,35.29,0,0,100,100,0,98.82,1.18,0,100,2.94,97.06,99.41,0.59,11.18,88.82,53.53,46.47
Veerapanenigudem,KRISHNA,GANNAVARAM - 5109,Veerapanenigudem,Soil Health Card RKVY,2025-26,0,0,100,0,79.49,20.51,0,0,100,10.26,33.33,56.41,0,0,100,100,0,100,0,2.56,97.44,10.26,89.74,100,0,0,100,38.46,61.54
Venkatanarasimhapuram,KRISHNA,GANNAVARAM - 5109,Venkatanarasimhapuram,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,0,0,100,33.33,50,16.67,0,0,100,100,0,100,0,0,100,0,100,100,0,0,100,0,100
