Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Aginiparru,KRISHNA,PAMIDIMUKKALA - 5134,Aginiparru,Soil Health Card RKVY,2025-26,0,0,100,0,93.1,6.9,0,0,100,20.69,41.38,37.93,0,0,100,100,0,100,0,3.45,96.55,6.9,93.1,100,0,0,100,41.38,58.62
Ameenapuram,KRISHNA,PAMIDIMUKKALA - 5134,Ameenapuram,Soil Health Card RKVY,2025-26,0,0,100,3.03,93.94,3.03,0,0,100,18.18,42.42,39.39,0,0,100,100,0,96.97,3.03,0,100,9.09,90.91,96.97,3.03,6.06,93.94,27.27,72.73
Chennuruvaripalem,KRISHNA,PAMIDIMUKKALA - 5134,Chennuruvaripalem,Soil Health Card RKVY,2025-26,0,0,100,0,90,10,0,0,100,25,60,15,0,0,100,100,0,100,0,0,100,25,75,100,0,5,95,35,65
Choragudi,KRISHNA,PAMIDIMUKKALA - 5134,Choragudi,Soil Health Card RKVY,2025-26,0,0,100,1.47,89.71,8.82,0,0,100,23.53,39.71,36.76,0,0,100,100,0,100,0,0,100,38.24,61.76,97.06,2.94,1.47,98.53,20.59,79.41
Fathelanka,KRISHNA,PAMIDIMUKKALA - 5134,Fathelanka,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,0,0,100,21.05,36.84,42.11,0,0,100,100,0,100,0,0,100,5.26,94.74,100,0,0,100,47.37,52.63
Gopuvanipalem,KRISHNA,PAMIDIMUKKALA - 5134,Gopuvanipalem,Soil Health Card RKVY,2025-26,0,0,100,0,81.82,18.18,0,0,100,50,27.27,22.73,0,0,100,100,0,100,0,0,100,4.55,95.45,100,0,13.64,86.36,9.09,90.91
Gurazada,KRISHNA,PAMIDIMUKKALA - 5134,Gurazada,Soil Health Card RKVY,2025-26,0,0,100,0,84.38,15.63,0,0,100,18.75,43.75,37.5,0,0,100,100,0,100,0,0,100,3.13,96.88,100,0,0,100,9.38,90.63
Gurrala Lanka,KRISHNA,PAMIDIMUKKALA - 5134,Gurrala Lanka,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,0,0,100,66.67,33.33,0,0,0,100,100,0,83.33,16.67,0,100,33.33,66.67,100,0,0,100,66.67,33.33
Hanumanthapuram,KRISHNA,PAMIDIMUKKALA - 5134,Hanumanthapuram,Soil Health Card RKVY,2025-26,0,0,100,0,95.83,4.17,0,0,100,20.83,50,29.17,0,0,100,100,0,100,0,0,100,8.33,91.67,95.83,4.17,0,100,20.83,79.17
Inampudi,KRISHNA,PAMIDIMUKKALA - 5134,Inampudi,Soil Health Card RKVY,2025-26,0,0,100,0,88.89,11.11,0,0,100,14.81,48.15,37.04,0,0,100,100,0,100,0,0,100,44.44,55.56,100,0,0,100,33.33,66.67
Inapuru,KRISHNA,PAMIDIMUKKALA - 5134,Inapuru,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,0,0,100,30.43,47.83,21.74,0,0,100,100,0,100,0,0,100,34.78,65.22,100,0,4.35,95.65,30.43,69.57
Kapileswarapuram,KRISHNA,PAMIDIMUKKALA - 5134,Kapileswarapuram,Soil Health Card RKVY,2025-26,0,0,100,0,89.74,10.26,0,0,100,48.21,28.72,23.08,0,0,100,100,0,100,0,0,100,13.33,86.67,98.97,1.03,2.56,97.44,29.74,70.26
Krishnapuram,KRISHNA,PAMIDIMUKKALA - 5134,Krishnapuram,Soil Health Card RKVY,2025-26,0,0,100,0,92.41,7.59,0,0,100,11.39,40.51,48.1,0,0,100,100,0,100,0,0,100,32.91,67.09,98.73,1.27,1.27,98.73,13.92,86.08
Kuderu,KRISHNA,PAMIDIMUKKALA - 5134,Kuderu,Soil Health Card RKVY,2025-26,0,0,100,0,94.12,5.88,0,0,100,17.65,52.94,29.41,0,0,100,100,0,100,0,0,100,47.06,52.94,94.12,5.88,23.53,76.47,8.82,91.18
Lankapalle,KRISHNA,PAMIDIMUKKALA - 5134,Lankapalle,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,0,0,100,15.15,48.48,36.36,0,0,100,100,0,100,0,0,100,42.42,57.58,96.97,3.03,0,100,9.09,90.91
Mamillapalle,KRISHNA,PAMIDIMUKKALA - 5134,Mamillapalle,Soil Health Card RKVY,2025-26,0,0,100,0,95.45,4.55,0,0,100,9.09,50,40.91,0,0,100,100,0,95.45,4.55,4.55,95.45,9.09,90.91,100,0,4.55,95.45,40.91,59.09
Mantada,KRISHNA,PAMIDIMUKKALA - 5134,Mantada,Soil Health Card RKVY,2025-26,0,0,100,0,95.24,4.76,0,0,100,9.52,47.62,42.86,0,0,100,100,0,95.24,4.76,4.76,95.24,4.76,95.24,100,0,4.76,95.24,47.62,52.38
