Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Bahussainpalem,KRISHNA,PEDANA - 5135,Bahussainpalem,Soil Health Card RKVY,2025-26,0,0,100,11.11,88.89,0,0,0,100,22.22,50,27.78,0,0,100,100,0,55.56,44.44,0,100,0,100,100,0,0,100,5.56,94.44
Balliparru,KRISHNA,PEDANA - 5135,Balliparru,Soil Health Card RKVY,2025-26,0,0,100,0,68.18,31.82,0,0,100,0,54.55,45.45,0,0,100,100,0,86.36,13.64,9.09,90.91,36.36,63.64,100,0,22.73,77.27,4.55,95.45
Chennuru,KRISHNA,PEDANA - 5135,Chennuru,Soil Health Card RKVY,2025-26,0,0,100,26.23,73.77,0,0,0,100,21.31,49.18,29.51,0,0,100,100,0,100,0,8.2,91.8,52.46,47.54,100,0,16.39,83.61,31.15,68.85
Chevendra,KRISHNA,PEDANA - 5135,Chevendra,Soil Health Card RKVY,2025-26,0,0,100,3.17,93.65,3.17,0,0,100,17.46,52.38,30.16,0,0,100,100,0,100,0,17.46,82.54,40,60,100,0,1.59,98.41,7.94,92.06
Chodavaram,KRISHNA,PEDANA - 5135,Chodavaram,Soil Health Card RKVY,2025-26,0,0,100,3.17,87.3,9.52,0,0,100,25.4,47.62,26.98,0,1.59,98.41,98.41,1.59,96.83,3.17,6.35,93.65,52.38,47.62,98.41,1.59,12.7,87.3,52.38,47.62
Devarapalle,KRISHNA,PEDANA - 5135,Devarapalle,Soil Health Card RKVY,2025-26,0,0,100,50,50,0,0,0,100,25,75,0,0,0,100,100,0,100,0,0,100,25,75,100,0,25,75,25,75
Gurivindagunta,KRISHNA,PEDANA - 5135,Gurivindagunta,Soil Health Card RKVY,2025-26,0,0,100,3.85,96.15,0,0,0,100,30.77,46.15,23.08,0,0,100,100,0,100,0,42.31,57.69,40,60,96.15,3.85,46.15,53.85,88.46,11.54
Jinjeru,KRISHNA,PEDANA - 5135,Jinjeru,Soil Health Card RKVY,2025-26,0,0,100,25,75,0,0,0,100,18.75,59.38,21.88,0,0,100,100,0,100,0,6.25,93.75,18.75,81.25,100,0,34.38,65.63,17.19,82.81
Kakarlamudi,KRISHNA,PEDANA - 5135,Kakarlamudi,Soil Health Card RKVY,2025-26,0,0,100,35.48,64.52,0,0,0,100,25.81,43.55,30.65,0,0,100,100,0,100,0,3.23,96.77,45.16,54.84,100,0,0,100,54.84,45.16
Kamalapuram,KRISHNA,PEDANA - 5135,Kamalapuram,Soil Health Card RKVY,2025-26,0,0,100,35.38,64.62,0,0,0,100,24.62,46.15,29.23,0,0,100,100,0,100,0,4.62,95.38,43.08,56.92,100,0,0,100,53.85,46.15
Kavipuram,KRISHNA,PEDANA - 5135,Kavipuram,Soil Health Card RKVY,2025-26,0,0,100,3.7,74.07,22.22,0,0,100,22.22,33.33,44.44,0,0,100,100,0,100,0,29.63,70.37,26.92,73.08,100,0,0,100,51.85,48.15
Konkepudi,KRISHNA,PEDANA - 5135,Konkepudi,Soil Health Card RKVY,2025-26,0,0,100,12.9,83.87,3.23,0,0,100,25.81,41.94,32.26,0,0,100,100,0,100,0,6.45,93.55,1.61,98.39,100,0,32.26,67.74,33.87,66.13
Koppalle,KRISHNA,PEDANA - 5135,Koppalle,Soil Health Card RKVY,2025-26,0,0,100,0,73.33,26.67,0,0,100,13.33,40,46.67,0,0,100,100,0,93.33,6.67,13.33,86.67,13.33,86.67,100,0,0,100,13.33,86.67
Kuduru,KRISHNA,PEDANA - 5135,Kuduru,Soil Health Card RKVY,2025-26,0,0,100,6.25,87.5,6.25,0,0,100,28.13,53.13,18.75,0,0,100,100,0,96.88,3.13,9.38,90.63,38.71,61.29,100,0,0,100,0,100
Kummarigunta,KRISHNA,PEDANA - 5135,Kummarigunta,Soil Health Card RKVY,2025-26,0,0,100,0,50,50,0,0,100,16.67,16.67,66.67,0,0,100,100,0,100,0,0,100,0,100,100,0,0,100,0,100
