Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Boddapadu,KRISHNA,THOTLAVALLURU - 5140,Boddapadu,Soil Health Card RKVY,2025-26,0,10.17,89.83,79.66,16.95,3.39,96.61,3.39,0,11.86,13.56,74.58,1.69,0,98.31,100,0,100,0,69.49,30.51,98.31,1.69,100,0,35.59,64.41,76.27,23.73
Chagantipadu,KRISHNA,THOTLAVALLURU - 5140,Chagantipadu,Soil Health Card RKVY,2025-26,0,1.89,98.11,84.91,15.09,0,94.34,5.66,0,39.62,39.62,20.75,1.89,0,98.11,98.11,1.89,100,0,75.47,24.53,84.91,15.09,98.11,1.89,18.87,81.13,94.34,5.66
Chinapulipaka,KRISHNA,THOTLAVALLURU - 5140,Chinapulipaka,Soil Health Card RKVY,2025-26,0,0,100,100,0,0,0,0,100,100,0,0,100,0,0,100,0,100,0,0,100,100,0,100,0,0,100,0,100
Devarapalle,KRISHNA,THOTLAVALLURU - 5140,Devarapalle,Soil Health Card RKVY,2025-26,0,0,100,87.8,12.2,0,90.24,9.76,0,26.83,63.41,9.76,0,0,100,97.56,2.44,100,0,70.73,29.27,14.63,85.37,100,0,31.71,68.29,78.05,21.95
Gurivindapalle,KRISHNA,THOTLAVALLURU - 5140,Gurivindapalle,Soil Health Card RKVY,2025-26,0,0,100,93.55,6.45,0,80.65,19.35,0,48.39,51.61,0,0,0,100,100,0,100,0,58.06,41.94,3.23,96.77,100,0,25.81,74.19,90.32,9.68
Kanakavalli,KRISHNA,THOTLAVALLURU - 5140,Kanakavalli,Soil Health Card RKVY,2025-26,0,14.29,85.71,42.86,28.57,28.57,100,0,0,14.29,28.57,57.14,0,0,100,100,0,100,0,85.71,14.29,0,100,100,0,85.71,14.29,71.43,28.57
Kummamuru,KRISHNA,THOTLAVALLURU - 5140,Kummamuru,Soil Health Card RKVY,2025-26,0,8.16,91.84,81.63,14.29,4.08,95.92,4.08,0,14.29,22.45,63.27,4.08,0,95.92,100,0,100,0,71.43,28.57,14.29,85.71,100,0,36.73,63.27,71.43,28.57
Madhurapuram,KRISHNA,THOTLAVALLURU - 5140,Madhurapuram,Soil Health Card RKVY,2025-26,0,0,100,100,0,0,100,0,0,100,0,0,0,0,100,100,0,100,0,0,100,0,100,100,0,0,100,100,0
Mulakalapalle,KRISHNA,THOTLAVALLURU - 5140,Mulakalapalle,Soil Health Card RKVY,2025-26,0,0,100,100,0,0,100,0,0,0,50,50,0,0,100,100,0,100,0,50,50,0,100,100,0,0,100,100,0
North Valluru,KRISHNA,THOTLAVALLURU - 5140,North Valluru,Soil Health Card RKVY,2025-26,0,0,100,93.1,6.9,0,87.36,12.64,0,39.08,54.02,6.9,1.15,0,98.85,98.85,1.15,100,0,65.52,34.48,100,0,100,0,26.44,73.56,82.76,17.24
Penamakuru,KRISHNA,THOTLAVALLURU - 5140,Penamakuru,Soil Health Card RKVY,2025-26,0,6.67,93.33,88.89,11.11,0,95.56,4.44,0,17.78,8.89,73.33,4.44,0,95.56,100,0,100,0,73.33,26.67,2.22,97.78,100,0,20,80,88.89,11.11
Royyuru,KRISHNA,THOTLAVALLURU - 5140,Royyuru,Soil Health Card RKVY,2025-26,0,2.7,97.3,89.19,10.81,0,94.59,5.41,0,18.92,24.32,56.76,5.41,0,94.59,100,0,100,0,81.08,18.92,0,100,100,0,21.62,78.38,89.19,10.81
South Valluru,KRISHNA,THOTLAVALLURU - 5140,South Valluru,Soil Health Card RKVY,2025-26,0,8.16,91.84,82.65,15.31,2.04,97.96,2.04,0,22.45,23.47,54.08,2.04,0,97.96,100,0,100,0,74.49,25.51,91.84,8.16,98.98,1.02,30.61,69.39,81.63,18.37
Yakamuru,KRISHNA,THOTLAVALLURU - 5140,Yakamuru,Soil Health Card RKVY,2025-26,0,0,100,72.73,27.27,0,68.18,18.18,13.64,45.45,40.91,13.64,4.55,0,95.45,100,0,100,0,63.64,36.36,100,0,100,0,13.64,86.36,77.27,22.73
