Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Akulamannadu,KRISHNA,GUDURU - 5113,Akulamannadu,Soil Health Card RKVY,2025-26,0,1.59,98.41,0,100,0,0,0,100,23.81,53.97,22.22,0,0,100,100,0,82.54,17.46,9.52,90.48,14.29,85.71,100,0,0,100,11.11,88.89
Akumarru,KRISHNA,GUDURU - 5113,Akumarru,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,0,0,100,27.27,45.45,27.27,0,0,100,100,0,72.73,27.27,0,100,9.09,90.91,81.82,18.18,9.09,90.91,45.45,54.55
Chittiguduru,KRISHNA,GUDURU - 5113,Chittiguduru,Soil Health Card RKVY,2025-26,0,0,100,0,90.91,9.09,0,0,100,18.18,36.36,45.45,0,0,100,100,0,100,0,0,100,13.64,86.36,100,0,0,100,86.36,13.64
Gandram,KRISHNA,GUDURU - 5113,Gandram,Soil Health Card RKVY,2025-26,0,2.22,97.78,6.67,77.78,15.56,0,0,100,11.11,44.44,44.44,0,0,100,100,0,93.33,6.67,0,100,2.22,97.78,100,0,2.22,97.78,4.44,95.56
Guduru,KRISHNA,GUDURU - 5113,Guduru,Soil Health Card RKVY,2025-26,0,1.23,98.77,9.88,80.25,9.88,0,0,100,16.05,58.02,25.93,0,0,100,100,0,100,0,0,100,9.88,90.12,100,0,0,100,12.35,87.65
Gurjepalle,KRISHNA,GUDURU - 5113,Gurjepalle,Soil Health Card RKVY,2025-26,0,0,100,9.52,85.71,4.76,0,0,100,95.24,4.76,0,0,0,100,100,0,100,0,4.76,95.24,38.1,61.9,100,0,4.76,95.24,0,100
Idugullapalle,KRISHNA,GUDURU - 5113,Idugullapalle,Soil Health Card RKVY,2025-26,0,0,100,11.76,88.24,0,0,0,100,5.88,35.29,58.82,0,0,100,100,0,100,0,0,100,82.35,17.65,100,0,0,100,17.65,82.35
Jakkamcherla,KRISHNA,GUDURU - 5113,Jakkamcherla,Soil Health Card RKVY,2025-26,0,0,100,57.14,42.86,0,0,0,100,28.57,57.14,14.29,0,0,100,100,0,100,0,0,100,28.57,71.43,100,0,14.29,85.71,71.43,28.57
Kanchakodur,KRISHNA,GUDURU - 5113,Kanchakodur,Soil Health Card RKVY,2025-26,0,0,100,29.41,70.59,0,0,0,100,76.47,20.59,2.94,0,0,100,100,0,91.18,8.82,0,100,79.41,20.59,100,0,0,100,64.71,35.29
Kankatava,KRISHNA,GUDURU - 5113,Kankatava,Soil Health Card RKVY,2025-26,0,1.14,98.86,26.14,73.86,0,0,0,100,56.82,34.09,9.09,0,0,100,98.86,1.14,100,0,23.86,76.14,67.05,32.95,97.73,2.27,15.91,84.09,51.14,48.86
Kappaladoddi,KRISHNA,GUDURU - 5113,Kappaladoddi,Soil Health Card RKVY,2025-26,0,0,100,5.88,94.12,0,0,0,100,58.82,35.29,5.88,0,0,100,100,0,100,0,17.65,82.35,52.94,47.06,100,0,47.06,52.94,0,100
Kokanarayanapalem,KRISHNA,GUDURU - 5113,Kokanarayanapalem,Soil Health Card RKVY,2025-26,0,0,100,34.09,61.36,4.55,0,0,100,22.73,47.73,29.55,0,0,100,100,0,93.18,6.82,2.27,97.73,61.36,38.64,100,0,13.64,86.36,27.27,72.73
Lellagaruvu,KRISHNA,GUDURU - 5113,Lellagaruvu,Soil Health Card RKVY,2025-26,0,0,100,12.12,87.88,0,0,0,100,15.15,39.39,45.45,0,0,100,100,0,100,0,0,100,57.58,42.42,100,0,0,100,42.42,57.58
Maddipatla,KRISHNA,GUDURU - 5113,Maddipatla,Soil Health Card RKVY,2025-26,0,3.33,96.67,23.33,66.67,10,0,0,100,13.33,43.33,43.33,0,0,100,100,0,100,0,0,100,36.67,63.33,96.67,3.33,6.67,93.33,10,90
Mallavolu,KRISHNA,GUDURU - 5113,Mallavolu,Soil Health Card RKVY,2025-26,0,1.49,98.51,0,88.81,11.19,0,0,100,20.15,48.51,31.34,0,0,100,99.25,0.75,97.01,2.99,3.01,96.99,58.65,41.35,97.76,2.24,32.84,67.16,70.9,29.1
Mukkollu,KRISHNA,GUDURU - 5113,Mukkollu,Soil Health Card RKVY,2025-26,0,0,100,1.64,67.21,31.15,0,0,100,21.31,57.38,21.31,0,0,100,100,0,100,0,16.95,83.05,35.59,64.41,98.36,1.64,57.38,42.62,27.87,72.13
Narikedalapalem,KRISHNA,GUDURU - 5113,Narikedalapalem,Soil Health Card RKVY,2025-26,0,0,100,0,85.71,14.29,0,0,100,0,64.29,35.71,0,0,100,100,0,100,0,7.14,92.86,50,50,92.86,7.14,71.43,28.57,42.86,57.14
Pinagudurulanka,KRISHNA,GUDURU - 5113,Pinagudurulanka,Soil Health Card RKVY,2025-26,0,6.25,93.75,0,100,0,0,0,100,0,56.25,43.75,0,0,100,100,0,100,0,0,100,13.33,86.67,100,0,87.5,12.5,6.25,93.75
Ramannapeta,KRISHNA,GUDURU - 5113,Ramannapeta,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,0,0,100,32.35,61.76,5.88,0,0,100,100,0,100,0,0,100,30.3,69.7,97.06,2.94,0,100,0,100
Ramanuja Varthalapalle,KRISHNA,GUDURU - 5113,Ramanuja Varthalapalle,Soil Health Card RKVY,2025-26,0,0,100,10,90,0,0,0,100,0,100,0,0,0,100,100,0,100,0,0,100,33.33,66.67,90,10,0,100,0,100
Ramarajupalem,KRISHNA,GUDURU - 5113,Ramarajupalem,Soil Health Card RKVY,2025-26,0,0,100,2.38,92.86,4.76,0,0,100,26.19,47.62,26.19,0,0,100,100,0,100,0,19.05,80.95,43.9,56.1,90.48,9.52,0,100,14.29,85.71
Rayavaram,KRISHNA,GUDURU - 5113,Rayavaram,Soil Health Card RKVY,2025-26,0,3.33,96.67,6.67,73.33,20,0,0,100,50,36.67,13.33,0,0,100,100,0,100,0,53.33,46.67,48.28,51.72,93.33,6.67,0,100,30,70
Tarakaturu,KRISHNA,GUDURU - 5113,Tarakaturu,Soil Health Card RKVY,2025-26,0,0,100,6.67,88.89,4.44,0,0,100,64.44,20,15.56,0,0,100,100,0,86.67,13.33,0,100,20,80,97.78,2.22,0,100,37.78,62.22
