Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Angaluru,KRISHNA,GUDLAVALLERU - 5112,Angaluru,Soil Health Card RKVY,2025-26,8.7,37.39,53.91,38.26,59.13,2.61,0,20,80,2.61,62.61,34.78,0,0,100,29.57,70.43,100,0,64.35,35.65,31.3,68.7,100,0,49.57,50.43,73.04,26.96
Chandrala,KRISHNA,GUDLAVALLERU - 5112,Chandrala,Soil Health Card RKVY,2025-26,8.33,45,46.67,66.67,33.33,0,0,0,100,3.33,96.67,0,0,0,100,100,0,100,0,20,80,46.67,53.33,100,0,43.33,56.67,51.67,48.33
Cheruvupalle,KRISHNA,GUDLAVALLERU - 5112,Cheruvupalle,Soil Health Card RKVY,2025-26,0,33.33,66.67,58.33,41.67,0,0,16.67,83.33,0,100,0,0,0,100,58.33,41.67,100,0,25,75,16.67,83.33,100,0,12.5,87.5,83.33,16.67
Chinagonnuru,KRISHNA,GUDLAVALLERU - 5112,Chinagonnuru,Soil Health Card RKVY,2025-26,3.85,42.31,53.85,23.08,76.92,0,0,0,100,0,100,0,0,0,100,100,0,100,0,3.85,96.15,42.31,57.69,100,0,38.46,61.54,30.77,69.23
Chitram,KRISHNA,GUDLAVALLERU - 5112,Chitram,Soil Health Card RKVY,2025-26,0,38.46,61.54,34.62,65.38,0,0,0,100,0,11.54,88.46,0,0,100,100,0,100,0,65.38,34.62,53.85,46.15,100,0,34.62,65.38,53.85,46.15
Dokiparru,KRISHNA,GUDLAVALLERU - 5112,Dokiparru,Soil Health Card RKVY,2025-26,4.08,14.97,80.95,42.86,56.46,0.68,0,12.24,87.76,0,6.8,93.2,0,0,100,100,0,100,0,66.67,33.33,40.82,59.18,100,0,40.14,59.86,80.27,19.73
Gadepudi,KRISHNA,GUDLAVALLERU - 5112,Gadepudi,Soil Health Card RKVY,2025-26,16.67,50,33.33,33.33,66.67,0,0,0,100,0,8.33,91.67,0,0,100,100,0,100,0,8.33,91.67,75,25,100,0,25,75,75,25
Gudlavalleru,KRISHNA,GUDLAVALLERU - 5112,Gudlavalleru,Soil Health Card RKVY,2025-26,1.82,21.82,76.36,63.64,36.36,0,0,0,100,10.91,36.36,52.73,0,0,100,100,0,100,0,74.55,25.45,30.91,69.09,98.18,1.82,34.55,65.45,78.18,21.82
Kowtaram,KRISHNA,GUDLAVALLERU - 5112,Kowtaram,Soil Health Card RKVY,2025-26,3.52,29.58,66.9,35.21,45.77,19.01,0,0,100,4.93,15.49,79.58,0,0,100,100,0,100,0,33.8,66.2,27.46,72.54,99.3,0.7,27.46,72.54,47.89,52.11
Kurada,KRISHNA,GUDLAVALLERU - 5112,Kurada,Soil Health Card RKVY,2025-26,0,27.5,72.5,37.5,62.5,0,0,0,100,0,5,95,0,0,100,100,0,100,0,65,35,32.5,67.5,100,0,45,55,77.5,22.5
Mamidikolla,KRISHNA,GUDLAVALLERU - 5112,Mamidikolla,Soil Health Card RKVY,2025-26,10.53,26.32,63.16,10.53,84.21,5.26,0,0,100,5.26,5.26,89.47,0,0,100,100,0,100,0,21.05,78.95,36.84,63.16,100,0,5.26,94.74,52.63,47.37
Nagavaram,KRISHNA,GUDLAVALLERU - 5112,Nagavaram,Soil Health Card RKVY,2025-26,0,70,30,50,50,0,0,0,100,0,10,90,0,0,100,100,0,100,0,40,60,30,70,100,0,30,70,70,30
Penjendra,KRISHNA,GUDLAVALLERU - 5112,Penjendra,Soil Health Card RKVY,2025-26,4.17,41.67,54.17,31.94,63.89,4.17,0,1.39,98.61,0,15.28,84.72,0,0,100,98.61,1.39,100,0,47.22,52.78,38.89,61.11,100,0,45.83,54.17,80.56,19.44
Pesaramilli,KRISHNA,GUDLAVALLERU - 5112,Pesaramilli,Soil Health Card RKVY,2025-26,0,8.33,91.67,50,50,0,0,0,100,0,8.33,91.67,0,0,100,100,0,100,0,100,0,16.67,83.33,100,0,66.67,33.33,50,50
Puritipadu,KRISHNA,GUDLAVALLERU - 5112,Puritipadu,Soil Health Card RKVY,2025-26,8,40,52,4,96,0,0,0,100,12,88,0,0,0,100,100,0,100,0,16,84,36,64,100,0,36,64,44,56
Seri Kalavapudi,KRISHNA,GUDLAVALLERU - 5112,Seri Kalavapudi,Soil Health Card RKVY,2025-26,4.55,34.09,61.36,31.82,63.64,4.55,0,0,100,25,52.27,22.73,0,0,100,97.73,2.27,100,0,86.36,13.64,36.36,63.64,100,0,38.64,61.36,63.64,36.36
Seridaggumilli,KRISHNA,GUDLAVALLERU - 5112,Seridaggumilli,Soil Health Card RKVY,2025-26,1.72,34.48,63.79,62.07,37.93,0,0,0,100,5.17,34.48,60.34,0,0,100,100,0,100,0,48.28,51.72,39.66,60.34,98.28,1.72,41.38,58.62,63.79,36.21
Ulavalapudi,KRISHNA,GUDLAVALLERU - 5112,Ulavalapudi,Soil Health Card RKVY,2025-26,0,42.86,57.14,9.52,90.48,0,0,0,100,0,0,100,0,0,100,100,0,100,0,33.33,66.67,19.05,80.95,100,0,52.38,47.62,61.9,38.1
Vadlamannadu,KRISHNA,GUDLAVALLERU - 5112,Vadlamannadu,Soil Health Card RKVY,2025-26,1.8,35.14,63.06,54.05,45.95,0,0,0,100,3.6,10.81,85.59,0,0,100,100,0,100,0,63.96,36.04,43.24,56.76,99.1,0.9,36.04,63.96,80.18,19.82
Vemavaram,KRISHNA,GUDLAVALLERU - 5112,Vemavaram,Soil Health Card RKVY,2025-26,0,26.67,73.33,46.67,53.33,0,0,0,100,0,0,100,0,0,100,100,0,100,0,33.33,66.67,40,60,100,0,40,60,73.33,26.67
