Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Aswaraopalem,KRISHNA,AVANIGADDA - 5101,Aswaraopalem,Soil Health Card RKVY,2025-26,0,0,100,6.9,48.28,44.83,0,0,100,12.07,24.14,63.79,0,0,100,100,0,100,0,0,100,0,100,98.28,1.72,0,100,0,100
Avanigadda,KRISHNA,AVANIGADDA - 5101,Avanigadda,Soil Health Card RKVY,2025-26,0,0,100,14.58,77.08,8.33,0,0,100,31.25,8.33,60.42,6.25,0,93.75,100,0,100,0,0,100,2.08,97.92,62.5,37.5,2.08,97.92,0,100
Chiruvolu Lanka,KRISHNA,AVANIGADDA - 5101,Chiruvolu Lanka,Soil Health Card RKVY,2025-26,0,0,100,4.17,64.58,31.25,0,0,100,0,33.33,66.67,6.25,0,93.75,100,0,100,0,0,100,6.25,93.75,75,25,27.08,72.92,0,100
Edlanka,KRISHNA,AVANIGADDA - 5101,Edlanka,Soil Health Card RKVY,2025-26,0,0,100,0,66.67,33.33,0,0,100,11.11,33.33,55.56,0,0,100,100,0,100,0,0,100,0,100,77.78,22.22,22.22,77.78,0,100
Modumudi,KRISHNA,AVANIGADDA - 5101,Modumudi,Soil Health Card RKVY,2025-26,0,0,100,2.94,72.06,25,0,0,100,33.82,27.94,38.24,0,0,100,100,0,100,0,0,100,0,100,100,0,0,100,0,100
Puligadda,KRISHNA,AVANIGADDA - 5101,Puligadda,Soil Health Card RKVY,2025-26,0,0,100,0,90,10,0,0,100,20,0,80,30,0,70,100,0,100,0,0,100,0,100,100,0,0,100,0,100
Vekanuru,KRISHNA,AVANIGADDA - 5101,Vekanuru,Soil Health Card RKVY,2025-26,0,0,100,16.67,74.07,9.26,0,0,100,5.56,18.52,75.93,0,0,100,100,0,100,0,0,100,1.89,98.11,88.89,11.11,3.7,96.3,3.7,96.3
