Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Chedurthipadu,KRISHNA,NANDIVADA - 5131,Chedurthipadu,Soil Health Card RKVY,2025-26,0,0,100,0,0,100,0,0,100,48,52,0,0,0,100,100,0,100,0,0,100,0,100,100,0,48,52,0,100
Chinalingala,KRISHNA,NANDIVADA - 5131,Chinalingala,Soil Health Card RKVY,2025-26,0,0,100,0,0,100,0,0,100,73.68,23.68,2.63,0,0,100,100,0,100,0,0,100,0,100,100,0,60.53,39.47,13.16,86.84
Janardhanapuram,KRISHNA,NANDIVADA - 5131,Janardhanapuram,Soil Health Card RKVY,2025-26,0,0,100,0,0,100,0,0,100,64.71,26.47,8.82,0,0,100,100,0,100,0,0,100,0,100,100,0,70.59,29.41,79.41,20.59
Nuthulapadu,KRISHNA,NANDIVADA - 5131,Nuthulapadu,Soil Health Card RKVY,2025-26,0,0,100,0,37.5,62.5,0,0,100,25,50,25,0,0,100,100,0,100,0,0,100,0,100,100,0,68.75,31.25,87.5,12.5
Oddulameraka,KRISHNA,NANDIVADA - 5131,Oddulameraka,Soil Health Card RKVY,2025-26,0,0,100,6.25,56.25,37.5,0,0,100,37.5,43.75,18.75,0,0,100,100,0,100,0,0,100,0,100,100,0,18.75,81.25,56.25,43.75
Pedalingala,KRISHNA,NANDIVADA - 5131,Pedalingala,Soil Health Card RKVY,2025-26,0,0,100,4,36,60,0,0,100,44,52,4,0,0,100,100,0,100,0,0,100,0,100,100,0,72,28,8,92
Puttagunta,KRISHNA,NANDIVADA - 5131,Puttagunta,Soil Health Card RKVY,2025-26,0,0,100,0,57.69,42.31,0,0,100,46.15,53.85,0,0,0,100,100,0,100,0,0,100,0,100,100,0,84.62,15.38,3.85,96.15
Tamirisa,KRISHNA,NANDIVADA - 5131,Tamirisa,Soil Health Card RKVY,2025-26,0,0,100,10.2,63.27,26.53,0,0,100,34.69,57.14,8.16,0,0,100,100,0,100,0,0,100,0,100,100,0,24.49,75.51,46.94,53.06
