Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Ampapuram,KRISHNA,BAPULAPADU - 5103,Ampapuram,Soil Health Card RKVY,2025-26,0,0,100,0,39.06,60.94,0,0,100,32.81,40.63,26.56,0,0,100,98.44,1.56,98.44,1.56,0,100,34.38,65.63,100,0,26.56,73.44,68.75,31.25
Arugolanu,KRISHNA,BAPULAPADU - 5103,Arugolanu,Soil Health Card RKVY,2025-26,0,0,100,1.75,63.16,35.09,0,0,100,61.4,29.82,8.77,0,0,100,100,0,100,0,0,100,35.09,64.91,100,0,10.53,89.47,0,100
Bandarugudem,KRISHNA,BAPULAPADU - 5103,Bandarugudem,Soil Health Card RKVY,2025-26,0,0,100,0,41.38,58.62,0,0,100,23.33,60,16.67,0,0,100,100,0,100,0,0,100,60,40,100,0,10,90,0,100
Bapulapadu,KRISHNA,BAPULAPADU - 5103,Bapulapadu,Soil Health Card RKVY,2025-26,0,0,100,0,74.42,25.58,0,0,100,20.93,37.21,41.86,0,0,100,100,0,100,0,0,100,16.28,83.72,100,0,9.3,90.7,4.65,95.35
Billanapalle,KRISHNA,BAPULAPADU - 5103,Billanapalle,Soil Health Card RKVY,2025-26,0,0,100,10,76.67,13.33,0,0,100,25,45,30,0,0,100,100,0,100,0,1.67,98.33,5,95,98.33,1.67,8.33,91.67,0,100
Bommuluru,KRISHNA,BAPULAPADU - 5103,Bommuluru,Soil Health Card RKVY,2025-26,0,0,100,0,48.65,51.35,0,0,100,13.51,81.08,5.41,0,0,100,100,0,100,0,0,100,10.81,89.19,97.3,2.7,18.92,81.08,40.54,59.46
Bommuluru Khandrika,KRISHNA,BAPULAPADU - 5103,Bommuluru Khandrika,Soil Health Card RKVY,2025-26,0,0,100,0,26.09,73.91,0,0,100,8.7,69.57,21.74,0,0,100,100,0,100,0,0,100,17.39,82.61,100,0,17.39,82.61,82.61,17.39
Chirivada,KRISHNA,BAPULAPADU - 5103,Chirivada,Soil Health Card RKVY,2025-26,0,0,100,1.82,80,18.18,0,0,100,18.18,43.64,38.18,0,0,100,100,0,100,0,1.82,98.18,43.64,56.36,100,0,3.64,96.36,0,100
Kakulapadu,KRISHNA,BAPULAPADU - 5103,Kakulapadu,Soil Health Card RKVY,2025-26,0,0,100,0,64.41,35.59,0,0,100,35.59,32.2,32.2,0,0,100,100,0,100,0,15.25,84.75,20.34,79.66,91.53,8.47,1.69,98.31,18.64,81.36
Kanumolu,KRISHNA,BAPULAPADU - 5103,Kanumolu,Soil Health Card RKVY,2025-26,0,0,100,1.16,53.49,45.35,0,0,100,29.65,35.47,34.88,0,0,100,100,0,100,0,6.4,93.6,8.72,91.28,92.44,7.56,7.56,92.44,16.86,83.14
Kodurupadu,KRISHNA,BAPULAPADU - 5103,Kodurupadu,Soil Health Card RKVY,2025-26,0,0,100,0,80,20,0,0,100,33.33,33.33,33.33,0,0,100,100,0,100,0,0,100,0,100,100,0,0,100,0,100
Madicherla,KRISHNA,BAPULAPADU - 5103,Madicherla,Soil Health Card RKVY,2025-26,0,0,100,0,54.24,45.76,0,0,100,13.56,32.2,54.24,0,0,100,100,0,100,0,0,100,35.59,64.41,91.53,8.47,0,100,0,100
Mallavilli,KRISHNA,BAPULAPADU - 5103,Mallavilli,Soil Health Card RKVY,2025-26,0,0,100,0,44.44,55.56,0,0,100,13.04,19.57,67.39,0,0,100,100,0,100,0,8.7,91.3,13.04,86.96,97.83,2.17,4.35,95.65,0,100
Ogirala,KRISHNA,BAPULAPADU - 5103,Ogirala,Soil Health Card RKVY,2025-26,0,0,100,2.33,20.93,76.74,0,0,100,23.26,44.19,32.56,0,0,100,100,0,100,0,9.3,90.7,30.23,69.77,90.7,9.3,6.98,93.02,0,100
Ramannagudem,KRISHNA,BAPULAPADU - 5103,Ramannagudem,Soil Health Card RKVY,2025-26,0,0,100,0,66.67,33.33,0,0,100,0,66.67,33.33,0,0,100,100,0,100,0,0,100,0,100,100,0,66.67,33.33,0,100
Rangannagudem,KRISHNA,BAPULAPADU - 5103,Rangannagudem,Soil Health Card RKVY,2025-26,0,0,100,2.13,70.21,27.66,0,0,100,21.28,34.04,44.68,0,0,100,100,0,100,0,2.13,97.87,2.13,97.87,100,0,31.91,68.09,0,100
Remalle,KRISHNA,BAPULAPADU - 5103,Remalle,Soil Health Card RKVY,2025-26,0,0,100,7.32,80.49,12.2,0,0,100,7.32,41.46,51.22,0,0,100,100,0,97.56,2.44,0,100,17.07,82.93,97.56,2.44,2.44,97.56,0,100
Singannagudem,KRISHNA,BAPULAPADU - 5103,Singannagudem,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,0,0,100,26.32,36.84,36.84,0,0,100,94.74,5.26,100,0,0,100,0,100,94.74,5.26,0,100,0,100
Sobhanadripuram,KRISHNA,BAPULAPADU - 5103,Sobhanadripuram,Soil Health Card RKVY,2025-26,0,0,100,0,85.71,14.29,0,0,100,42.86,28.57,28.57,0,0,100,100,0,100,0,14.29,85.71,0,100,100,0,7.14,92.86,0,100
Tippanagunta,KRISHNA,BAPULAPADU - 5103,Tippanagunta,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,0,0,100,100,0,0,0,0,100,100,0,100,0,0,100,0,100,100,0,0,100,0,100
Veeravalli,KRISHNA,BAPULAPADU - 5103,Veeravalli,Soil Health Card RKVY,2025-26,0,0,100,4.31,82.76,12.93,0,0,100,12.07,39.66,48.28,0,0,100,100,0,100,0,0,100,27.59,72.41,100,0,16.38,83.62,36.21,63.79
Veleru,KRISHNA,BAPULAPADU - 5103,Veleru,Soil Health Card RKVY,2025-26,0,0,100,3.33,93.33,3.33,0,0,100,28.33,45,26.67,1.67,0,98.33,100,0,100,0,0,100,40,60,86.67,13.33,5,95,13.33,86.67
