Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Akunuru,KRISHNA,VUYYURU - 5148,Akunuru,Soil Health Card RKVY,2025-26,0,0,100,0,38.46,61.54,0,0,100,23.08,23.08,53.85,0,0,100,100,0,100,0,0,100,3.85,96.15,100,0,15.38,84.62,7.69,92.31
Bollapadu,KRISHNA,VUYYURU - 5148,Bollapadu,Soil Health Card RKVY,2025-26,0,0,100,0,42,58,0,0,100,26,48,26,0,0,100,100,0,98,2,0,100,6.12,93.88,98,2,0,100,0,100
China Ogirala,KRISHNA,VUYYURU - 5148,China Ogirala,Soil Health Card RKVY,2025-26,0,0,100,0,53.85,46.15,0,0,100,21.15,40.38,38.46,0,0,100,100,0,100,0,0,100,30.77,69.23,96.15,3.85,0,100,1.92,98.08
Jabarlapudi,KRISHNA,VUYYURU - 5148,Jabarlapudi,Soil Health Card RKVY,2025-26,0,0,100,0,67.86,32.14,0,0,100,14.29,46.43,39.29,0,0,100,100,0,100,0,0,100,25,75,96.43,3.57,0,100,0,100
Kadavakollu,KRISHNA,VUYYURU - 5148,Kadavakollu,Soil Health Card RKVY,2025-26,0,0,100,0,53.33,46.67,0,0,100,20,20,60,0,0,100,100,0,100,0,0,100,0,100,86.67,13.33,0,100,14.29,85.71
Kalavapamula,KRISHNA,VUYYURU - 5148,Kalavapamula,Soil Health Card RKVY,2025-26,0,0,100,0,39.06,60.94,0,0,100,15.63,50,34.38,0,0,100,100,0,95.31,4.69,0,100,0,100,98.44,1.56,0,100,0,100
Katuru,KRISHNA,VUYYURU - 5148,Katuru,Soil Health Card RKVY,2025-26,0,0,100,0,56.12,43.88,0,0,100,6.47,41.73,51.8,0,0,100,100,0,97.84,2.16,0,100,1.46,98.54,97.12,2.88,0,100,0.72,99.28
Mudunuru,KRISHNA,VUYYURU - 5148,Mudunuru,Soil Health Card RKVY,2025-26,0,0,100,0,75.64,24.36,0,0,100,28.21,37.18,34.62,0,0,100,100,0,96.15,3.85,0,100,24.36,75.64,96.15,3.85,15.38,84.62,10.26,89.74
Peda Ogirala,KRISHNA,VUYYURU - 5148,Peda Ogirala,Soil Health Card RKVY,2025-26,0,0,100,0,75,25,0,0,100,25,44.44,30.56,0,0,100,100,0,100,0,0,100,13.89,86.11,100,0,22.22,77.78,2.78,97.22
Saipuram,KRISHNA,VUYYURU - 5148,Saipuram,Soil Health Card RKVY,2025-26,0,0,100,0,64.86,35.14,0,0,100,18.92,43.24,37.84,0,0,100,100,0,100,0,0,100,37.84,62.16,97.3,2.7,8.11,91.89,0,100
Veeravalli Mokhasa,KRISHNA,VUYYURU - 5148,Veeravalli Mokhasa,Soil Health Card RKVY,2025-26,0,0,100,0,43.9,56.1,0,0,100,41.46,53.66,4.88,0,0,100,100,0,100,0,0,100,21.95,78.05,100,0,7.32,92.68,29.27,70.73
Vuyyuru,KRISHNA,VUYYURU - 5148,Vuyyuru,Soil Health Card RKVY,2025-26,0,0,100,0,68.75,31.25,0,0,100,13.28,35.16,51.56,0,0,100,100,0,100,0,0,100,11.2,88.8,98.44,1.56,14.84,85.16,9.38,90.63
