Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Chandala,KRISHNA,KRUTTIVENNU - 5121,Chandala,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,0,0,100,50,0,50,0,0,100,50,50,100,0,100,0,0,100,100,0,50,50,100,0
Cherkumilli,KRISHNA,KRUTTIVENNU - 5121,Cherkumilli,Soil Health Card RKVY,2025-26,0,0,100,2.86,91.43,5.71,0,0,100,17.14,25.71,57.14,0,0,100,77.14,22.86,82.86,17.14,28.57,71.43,17.14,82.86,94.29,5.71,22.86,77.14,85.71,14.29
China Pandraka,KRISHNA,KRUTTIVENNU - 5121,China Pandraka,Soil Health Card RKVY,2025-26,0,0,100,7.5,92.5,0,0,0,100,67.5,15,17.5,0,0,100,87.5,12.5,70,30,37.5,62.5,0,100,97.5,2.5,0,100,72.5,27.5
Chinagollapalem,KRISHNA,KRUTTIVENNU - 5121,Chinagollapalem,Soil Health Card RKVY,2025-26,0,2.56,97.44,5.13,92.31,2.56,0,0,100,79.49,17.95,2.56,0,0,100,100,0,79.49,20.51,53.85,46.15,2.56,97.44,94.87,5.13,0,100,58.97,41.03
Endapalle,KRISHNA,KRUTTIVENNU - 5121,Endapalle,Soil Health Card RKVY,2025-26,0,0,100,18.18,72.73,9.09,0,0,100,27.27,36.36,36.36,0,0,100,100,0,100,0,81.82,18.18,0,100,100,0,27.27,72.73,100,0
Komallapudi,KRISHNA,KRUTTIVENNU - 5121,Komallapudi,Soil Health Card RKVY,2025-26,0,42.86,57.14,0,100,0,0,0,100,57.14,14.29,28.57,0,0,100,100,0,100,0,100,0,0,100,100,0,14.29,85.71,92.86,7.14
Kruthivennu,KRISHNA,KRUTTIVENNU - 5121,Kruthivennu,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,0,0,100,0,50,50,0,0,100,100,0,100,0,0,100,0,100,100,0,0,100,100,0
Laxmipuram,KRISHNA,KRUTTIVENNU - 5121,Laxmipuram,Soil Health Card RKVY,2025-26,0,0,100,20,80,0,0,0,100,20,80,0,0,0,100,100,0,80,20,0,100,0,100,100,0,0,100,100,0
Munipeda,KRISHNA,KRUTTIVENNU - 5121,Munipeda,Soil Health Card RKVY,2025-26,0,0,100,8.33,91.67,0,0,0,100,33.33,50,16.67,0,0,100,100,0,83.33,16.67,8.33,91.67,0,100,100,0,8.33,91.67,66.67,33.33
Neelipudi,KRISHNA,KRUTTIVENNU - 5121,Neelipudi,Soil Health Card RKVY,2025-26,0,0,100,0,50,50,0,0,100,40,30,30,0,0,100,100,0,90,10,10,90,0,100,100,0,0,100,60,40
Nidamarru,KRISHNA,KRUTTIVENNU - 5121,Nidamarru,Soil Health Card RKVY,2025-26,0,0,100,35,65,0,0,0,100,0,15,85,0,0,100,100,0,85,15,10,90,0,100,100,0,0,100,90,10
Tadivennu,KRISHNA,KRUTTIVENNU - 5121,Tadivennu,Soil Health Card RKVY,2025-26,0,0,100,0,50,50,0,0,100,0,50,50,0,0,100,100,0,75,25,0,100,0,100,100,0,0,100,100,0
