Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Chalivendrapalem,KRISHNA,KANKIPADU - 5119,Chalivendrapalem,Soil Health Card RKVY,2025-26,0,0,100,17.65,79.41,2.94,0,0,100,61.76,32.35,5.88,47.06,0,52.94,100,0,100,0,0,100,73.53,26.47,100,0,0,100,0,100
Davuluru,KRISHNA,KANKIPADU - 5119,Davuluru,Soil Health Card RKVY,2025-26,0,0,100,6.25,90.63,3.13,0,0,100,56.25,21.88,21.88,6.25,0,93.75,100,0,100,0,0,100,84.38,15.63,100,0,0,100,21.88,78.13
Edupugallu,KRISHNA,KANKIPADU - 5119,Edupugallu,Soil Health Card RKVY,2025-26,0,0,100,41.79,58.21,0,0,0,100,46.27,38.81,14.93,4.48,0,95.52,100,0,100,0,0,100,52.24,47.76,98.51,1.49,0,100,43.28,56.72
Godavarru,KRISHNA,KANKIPADU - 5119,Godavarru,Soil Health Card RKVY,2025-26,0,0,100,11.11,79.37,9.52,0,0,100,22.22,49.21,28.57,0,0,100,100,0,100,0,0,100,31.75,68.25,100,0,34.92,65.08,41.27,58.73
Jagannadhapuram,KRISHNA,KANKIPADU - 5119,Jagannadhapuram,Soil Health Card RKVY,2025-26,0,0,100,29.17,70.83,0,0,0,100,12.5,62.5,25,0,0,100,100,0,100,0,0,100,4.17,95.83,100,0,0,100,58.33,41.67
Kandalampadu,KRISHNA,KANKIPADU - 5119,Kandalampadu,Soil Health Card RKVY,2025-26,0,0,100,66.67,33.33,0,0,0,100,50,16.67,33.33,0,0,100,100,0,100,0,0,100,33.33,66.67,100,0,0,100,0,100
Kankipadu (CT),KRISHNA,KANKIPADU - 5119,Kankipadu (CT),Soil Health Card RKVY,2025-26,0,0,100,28,72,0,0,0,100,20,60,20,0,0,100,100,0,100,0,0,100,56,44,100,0,76,24,88,12
Kolavennu,KRISHNA,KANKIPADU - 5119,Kolavennu,Soil Health Card RKVY,2025-26,0,0,100,17.05,81.82,1.14,0,0,100,1.14,32.95,65.91,0,0,100,100,0,100,0,0,100,48.86,51.14,98.86,1.14,9.09,90.91,47.73,52.27
Konathanapadu,KRISHNA,KANKIPADU - 5119,Konathanapadu,Soil Health Card RKVY,2025-26,0,0,100,50,50,0,0,0,100,12.5,31.25,56.25,0,0,100,100,0,100,0,0,100,12.5,87.5,100,0,93.75,6.25,6.25,93.75
Kunderu,KRISHNA,KANKIPADU - 5119,Kunderu,Soil Health Card RKVY,2025-26,0,0,100,6.9,93.1,0,0,0,100,22.41,44.83,32.76,0,0,100,91.38,8.62,100,0,0,100,32.76,67.24,100,0,0,100,3.45,96.55
Madduru,KRISHNA,KANKIPADU - 5119,Madduru,Soil Health Card RKVY,2025-26,0,0,100,6.67,88.33,5,0,0,100,15,56.67,28.33,0,0,100,100,0,100,0,0,100,21.67,78.33,100,0,23.33,76.67,13.33,86.67
Manthena,KRISHNA,KANKIPADU - 5119,Manthena,Soil Health Card RKVY,2025-26,0,0,100,20,80,0,0,0,100,10,30,60,0,0,100,100,0,100,0,0,100,25,75,75,25,0,100,57.5,42.5
Maredumaka,KRISHNA,KANKIPADU - 5119,Maredumaka,Soil Health Card RKVY,2025-26,0,0,100,12.5,87.5,0,0,0,100,0,68.75,31.25,0,0,100,100,0,100,0,0,100,31.25,68.75,100,0,100,0,50,50
Neppalle,KRISHNA,KANKIPADU - 5119,Neppalle,Soil Health Card RKVY,2025-26,0,0,100,29.69,70.31,0,0,0,100,7.81,54.69,37.5,0,0,100,100,0,100,0,0,100,31.25,68.75,100,0,9.38,90.63,1.56,98.44
Prodduturu,KRISHNA,KANKIPADU - 5119,Prodduturu,Soil Health Card RKVY,2025-26,0,0,100,47.37,52.63,0,0,0,100,2.63,15.79,81.58,0,0,100,100,0,100,0,0,100,13.16,86.84,97.37,2.63,7.89,92.11,68.42,31.58
Punadipadu,KRISHNA,KANKIPADU - 5119,Punadipadu,Soil Health Card RKVY,2025-26,0,0,100,23.81,66.67,9.52,0,0,100,3.17,12.7,84.13,0,0,100,100,0,100,0,0,100,23.81,76.19,100,0,14.29,85.71,53.97,46.03
Tenneru,KRISHNA,KANKIPADU - 5119,Tenneru,Soil Health Card RKVY,2025-26,0,0,100,44.74,52.63,2.63,0,0,100,7.89,39.47,52.63,0,0,100,100,0,100,0,0,100,65.79,34.21,100,0,28.95,71.05,36.84,63.16
Uppaluru,KRISHNA,KANKIPADU - 5119,Uppaluru,Soil Health Card RKVY,2025-26,0,0,100,19.3,80.7,0,0,0,100,15.79,45.61,38.6,0,0,100,100,0,100,0,0,100,22.81,77.19,100,0,5.26,94.74,12.28,87.72
Velpuru,KRISHNA,KANKIPADU - 5119,Velpuru,Soil Health Card RKVY,2025-26,0,0,100,10.77,76.92,12.31,0,0,100,16.92,56.92,26.15,0,0,100,100,0,100,0,0,100,27.69,72.31,98.46,1.54,0,100,40,60
