Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Allidoddi,KRISHNA,GUDIVADA - 5111,Allidoddi,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,100,0,0,0,100,0,0,0,100,100,0,100,0,0,100,0,100,100,0,100,0,100,0
Bethavolu (R),KRISHNA,GUDIVADA - 5111,Bethavolu (R),Soil Health Card RKVY,2025-26,0,43.4,56.6,100,0,0,100,0,0,35.85,58.49,5.66,0,0,100,100,0,100,0,20.75,79.25,0,100,100,0,5.66,94.34,100,0
Billapadu (R),KRISHNA,GUDIVADA - 5111,Billapadu (R),Soil Health Card RKVY,2025-26,0,80,20,100,0,0,100,0,0,100,0,0,0,0,100,100,0,100,0,0,100,0,100,100,0,0,100,100,0
Bommuluru,KRISHNA,GUDIVADA - 5111,Bommuluru,Soil Health Card RKVY,2025-26,0,61.54,38.46,100,0,0,100,0,0,69.23,26.92,3.85,0,0,100,100,0,100,0,69.23,30.77,0,100,100,0,0,100,100,0
Chilakamudi,KRISHNA,GUDIVADA - 5111,Chilakamudi,Soil Health Card RKVY,2025-26,0,81.82,18.18,100,0,0,100,0,0,48.48,51.52,0,0,0,100,100,0,100,0,72.73,27.27,3.03,96.97,100,0,21.21,78.79,100,0
China Yerukapadu,KRISHNA,GUDIVADA - 5111,China Yerukapadu,Soil Health Card RKVY,2025-26,0,50,50,100,0,0,100,0,0,83.33,16.67,0,0,0,100,100,0,100,0,33.33,66.67,0,100,100,0,0,100,100,0
Chirichintala,KRISHNA,GUDIVADA - 5111,Chirichintala,Soil Health Card RKVY,2025-26,0,60,40,86.67,13.33,0,93.33,6.67,0,33.33,66.67,0,0,0,100,93.33,6.67,100,0,80,20,6.67,93.33,100,0,46.67,53.33,100,0
Chowtapalle,KRISHNA,GUDIVADA - 5111,Chowtapalle,Soil Health Card RKVY,2025-26,0,44.34,55.66,84.91,15.09,0,99.06,0.94,0,60.38,39.62,0,0,0,100,100,0,100,0,46.23,53.77,0,100,100,0,46.23,53.77,100,0
Dondapadu,KRISHNA,GUDIVADA - 5111,Dondapadu,Soil Health Card RKVY,2025-26,0,43.48,56.52,100,0,0,100,0,0,47.83,52.17,0,0,0,100,86.96,13.04,100,0,78.26,21.74,0,100,100,0,8.7,91.3,100,0
Gangadharapuram,KRISHNA,GUDIVADA - 5111,Gangadharapuram,Soil Health Card RKVY,2025-26,0,53.85,46.15,100,0,0,100,0,0,76.92,15.38,7.69,0,0,100,100,0,100,0,76.92,23.08,7.69,92.31,100,0,30.77,69.23,100,0
Gudivada (R),KRISHNA,GUDIVADA - 5111,Gudivada (R),Soil Health Card RKVY,2025-26,0,63.08,36.92,81.54,18.46,0,98.46,1.54,0,44.62,50.77,4.62,0,0,100,98.46,1.54,100,0,46.15,53.85,3.08,96.92,100,0,60,40,100,0
Guntakoduru,KRISHNA,GUDIVADA - 5111,Guntakoduru,Soil Health Card RKVY,2025-26,0,43.75,56.25,100,0,0,100,0,0,50,50,0,0,0,100,100,0,100,0,75,25,0,100,100,0,75,25,100,0
Kalvapudi Agraharam,KRISHNA,GUDIVADA - 5111,Kalvapudi Agraharam,Soil Health Card RKVY,2025-26,0,52.94,47.06,79.41,20.59,0,100,0,0,61.76,32.35,5.88,0,0,100,100,0,100,0,55.88,44.12,0,100,100,0,26.47,73.53,100,0
Kasipudi,KRISHNA,GUDIVADA - 5111,Kasipudi,Soil Health Card RKVY,2025-26,0,46.15,53.85,69.23,30.77,0,100,0,0,30.77,69.23,0,0,0,100,92.31,7.69,100,0,46.15,53.85,0,100,100,0,46.15,53.85,100,0
Lingavaram,KRISHNA,GUDIVADA - 5111,Lingavaram,Soil Health Card RKVY,2025-26,0,41.51,58.49,77.36,16.98,5.66,90.57,0,9.43,67.92,26.42,5.66,0,0,100,100,0,100,0,47.17,52.83,0,100,100,0,39.62,60.38,92.45,7.55
Mandapadu (R),KRISHNA,GUDIVADA - 5111,Mandapadu (R),Soil Health Card RKVY,2025-26,0,50,50,100,0,0,100,0,0,7.14,85.71,7.14,0,0,100,100,0,100,0,21.43,78.57,0,100,100,0,14.29,85.71,100,0
Merakagudem,KRISHNA,GUDIVADA - 5111,Merakagudem,Soil Health Card RKVY,2025-26,0,43.48,56.52,73.91,26.09,0,100,0,0,65.22,30.43,4.35,0,0,100,100,0,100,0,56.52,43.48,0,100,100,0,60.87,39.13,100,0
Moturu,KRISHNA,GUDIVADA - 5111,Moturu,Soil Health Card RKVY,2025-26,0,54.55,45.45,81.82,18.18,0,100,0,0,53.25,45.45,1.3,0,0,100,98.7,1.3,100,0,54.55,45.45,3.9,96.1,100,0,14.29,85.71,100,0
NAGAVARAPPADU URBAN,KRISHNA,GUDIVADA - 5111,NAGAVARAPPADU URBAN,Soil Health Card RKVY,2025-26,0,46.88,53.13,87.5,12.5,0,100,0,0,75,25,0,0,0,100,100,0,100,0,34.38,65.63,0,100,100,0,31.25,68.75,100,0
Pedayerukapadu (R),KRISHNA,GUDIVADA - 5111,Pedayerukapadu (R),Soil Health Card RKVY,2025-26,0,86.96,13.04,100,0,0,95.65,4.35,0,56.52,43.48,0,0,0,100,78.26,21.74,100,0,34.78,65.22,4.35,95.65,100,0,13.04,86.96,100,0
