Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Bhavadevarapalle,KRISHNA,NAGAYALANKA - 5129,Bhavadevarapalle,Soil Health Card RKVY,2025-26,0,0,100,0,67.18,32.82,0,0,100,20.61,50.38,29.01,0,0,100,100,0,98.47,1.53,0,100,17.56,82.44,100,0,35.11,64.89,0,100
Chodavaram,KRISHNA,NAGAYALANKA - 5129,Chodavaram,Soil Health Card RKVY,2025-26,0,0,100,1.82,87.27,10.91,0,0,100,50.91,36.36,12.73,0,0,100,100,0,100,0,0,100,38.18,61.82,100,0,87.27,12.73,21.82,78.18
Edurumondi,KRISHNA,NAGAYALANKA - 5129,Edurumondi,Soil Health Card RKVY,2025-26,0,0,100,0,100,0,0,0,100,0,0,100,0,0,100,100,0,100,0,0,100,0,100,100,0,100,0,0,100
Etimoga,KRISHNA,NAGAYALANKA - 5129,Etimoga,Soil Health Card RKVY,2025-26,0,0,100,0.53,80.21,19.25,0,0,100,26.74,51.34,21.93,0.53,0,99.47,100,0,100,0,0,100,33.16,66.84,100,0,59.89,40.11,17.11,82.89
Ganapeswaram,KRISHNA,NAGAYALANKA - 5129,Ganapeswaram,Soil Health Card RKVY,2025-26,0,0,100,0,75.37,24.63,0,0,100,35.82,46.27,17.91,0.75,0,99.25,100,0,96.27,3.73,0,100,27.61,72.39,100,0,44.03,55.97,20.9,79.1
Kammanamolu,KRISHNA,NAGAYALANKA - 5129,Kammanamolu,Soil Health Card RKVY,2025-26,0,0,100,0,88.64,11.36,0,0,100,18.18,72.73,9.09,0,0,100,100,0,100,0,0,100,13.64,86.36,100,0,97.73,2.27,15.91,84.09
Nagayalanka,KRISHNA,NAGAYALANKA - 5129,Nagayalanka,Soil Health Card RKVY,2025-26,0,0,100,0,80,20,0,0,100,80,20,0,0,0,100,100,0,100,0,0,100,20,80,100,0,90,10,70,30
Nangegadda,KRISHNA,NAGAYALANKA - 5129,Nangegadda,Soil Health Card RKVY,2025-26,0,0,100,0,56.52,43.48,0,0,100,39.13,44.93,15.94,0,0,100,100,0,100,0,0,100,24.64,75.36,100,0,56.52,43.48,0,100
Parrachivara,KRISHNA,NAGAYALANKA - 5129,Parrachivara,Soil Health Card RKVY,2025-26,0,0,100,0,79.25,20.75,0,0,100,32.08,55.66,12.26,0,0,100,100,0,98.11,1.89,0,100,23.58,76.42,100,0,15.09,84.91,16.04,83.96
T.Kothapalem,KRISHNA,NAGAYALANKA - 5129,T.Kothapalem,Soil Health Card RKVY,2025-26,0,0,100,3.41,80.68,15.91,0,0,100,36.36,27.27,36.36,1.14,0,98.86,100,0,98.86,1.14,0,100,53.41,46.59,100,0,56.82,43.18,43.18,56.82
Talagadadeevi,KRISHNA,NAGAYALANKA - 5129,Talagadadeevi,Soil Health Card RKVY,2025-26,0,0,100,0,72.82,27.18,0,0,100,53.4,41.75,4.85,0,0,100,100,0,99.03,0.97,0,100,18.45,81.55,100,0,43.69,56.31,1.94,98.06
