Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Arisepalle,KRISHNA,MACHILIPATNAM - 5122,Arisepalle,Soil Health Card RKVY,2025-26,0,0,100,0,26.67,73.33,0,0,100,20,53.33,26.67,13.33,0,86.67,100,0,100,0,6.67,93.33,10,90,100,0,56.67,43.33,100,0
Bhogireddipalle,KRISHNA,MACHILIPATNAM - 5122,Bhogireddipalle,Soil Health Card RKVY,2025-26,0,0,100,2.86,37.14,60,0,0,100,31.43,37.14,31.43,11.43,0,88.57,100,0,100,0,0,100,11.43,88.57,100,0,0,100,100,0
Borrapothupalem,KRISHNA,MACHILIPATNAM - 5122,Borrapothupalem,Soil Health Card RKVY,2025-26,0,0,100,0,22.22,77.78,0,0,100,38.89,44.44,16.67,27.78,0,72.22,77.78,22.22,88.89,11.11,0,100,0,100,77.78,22.22,0,100,100,0
Buddalapalem,KRISHNA,MACHILIPATNAM - 5122,Buddalapalem,Soil Health Card RKVY,2025-26,0,0,100,4.55,18.18,77.27,0,0,100,50,27.27,22.73,0,0,100,54.55,45.45,68.18,31.82,40.91,59.09,0,100,4.55,95.45,0,100,100,0
Chilakalapudi (R),KRISHNA,MACHILIPATNAM - 5122,Chilakalapudi (R),Soil Health Card RKVY,2025-26,0,0,100,0,22.58,77.42,0,0,100,16.13,41.94,41.94,0,0,100,100,0,93.55,6.45,0,100,0,100,19.35,80.65,0,100,100,0
Chinnapuram,KRISHNA,MACHILIPATNAM - 5122,Chinnapuram,Soil Health Card RKVY,2025-26,0,0,100,0,22.5,77.5,0,0,100,62.5,22.5,15,2.5,0,97.5,100,0,100,0,10,90,2.5,97.5,100,0,0,100,75,25
Garaladibba,KRISHNA,MACHILIPATNAM - 5122,Garaladibba,Soil Health Card RKVY,2025-26,0,0,100,0,25,75,0,0,100,65,30,5,25,0,75,100,0,100,0,30,70,0,100,50,50,0,100,20,80
Gokavaram,KRISHNA,MACHILIPATNAM - 5122,Gokavaram,Soil Health Card RKVY,2025-26,0,0,100,0,24.14,75.86,0,0,100,48.28,27.59,24.14,58.62,0,41.38,100,0,100,0,44.83,55.17,3.45,96.55,0,100,6.9,93.1,100,0
Gopuvanipalem,KRISHNA,MACHILIPATNAM - 5122,Gopuvanipalem,Soil Health Card RKVY,2025-26,0,0,100,22.22,55.56,22.22,0,0,100,0,66.67,33.33,44.44,0,55.56,100,0,100,0,88.89,11.11,0,100,33.33,66.67,22.22,77.78,100,0
Gundupalem,KRISHNA,MACHILIPATNAM - 5122,Gundupalem,Soil Health Card RKVY,2025-26,0,0,100,0,20,80,0,0,100,65.71,22.86,11.43,28.57,0,71.43,100,0,85.71,14.29,14.29,85.71,2.86,97.14,91.43,8.57,25.71,74.29,88.57,11.43
Hussainpalem,KRISHNA,MACHILIPATNAM - 5122,Hussainpalem,Soil Health Card RKVY,2025-26,0,0,100,0,38.46,61.54,0,0,100,69.23,23.08,7.69,15.38,0,84.62,100,0,100,0,38.46,61.54,0,100,92.31,7.69,0,100,100,0
Kanuru,KRISHNA,MACHILIPATNAM - 5122,Kanuru,Soil Health Card RKVY,2025-26,0,0,100,3.57,32.14,64.29,0,0,100,35.71,39.29,25,39.29,0,60.71,89.29,10.71,100,0,42.86,57.14,0,100,14.29,85.71,7.14,92.86,96.43,3.57
Kara Agraharam,KRISHNA,MACHILIPATNAM - 5122,Kara Agraharam,Soil Health Card RKVY,2025-26,0,0,100,0,26.19,73.81,0,0,100,33.33,40.48,26.19,7.14,0,92.86,95.24,4.76,83.33,16.67,21.43,78.57,9.52,90.48,73.17,26.83,0,100,32.5,67.5
Kona,KRISHNA,MACHILIPATNAM - 5122,Kona,Soil Health Card RKVY,2025-26,0,0,100,3.39,30.51,66.1,0,0,100,18.64,57.63,23.73,0,0,100,100,0,100,0,61.02,38.98,5.08,94.92,91.53,8.47,15.25,84.75,0,100
Kothapudi,KRISHNA,MACHILIPATNAM - 5122,Kothapudi,Soil Health Card RKVY,2025-26,0,0,100,0,34.78,65.22,0,0,100,17.39,52.17,30.43,0,0,100,100,0,100,0,69.57,30.43,0,100,100,0,0,100,4.35,95.65
Machavaram (R),KRISHNA,MACHILIPATNAM - 5122,Machavaram (R),Soil Health Card RKVY,2025-26,0,0,100,0,16.67,83.33,0,0,100,16.67,83.33,0,0,0,100,58.33,41.67,100,0,0,100,0,100,100,0,0,100,0,100
Machilipatnam (R),KRISHNA,MACHILIPATNAM - 5122,Machilipatnam (R),Soil Health Card RKVY,2025-26,0,0,100,10,40,50,0,0,100,25,40,35,10,0,90,90,10,100,0,65,35,0,100,100,0,0,100,0,100
Nelakurru,KRISHNA,MACHILIPATNAM - 5122,Nelakurru,Soil Health Card RKVY,2025-26,0,0,100,3.28,27.87,68.85,0,0,100,14.75,52.46,32.79,14.75,0,85.25,100,0,100,0,26.23,73.77,0,100,100,0,0,100,77.05,22.95
Pedapatnam,KRISHNA,MACHILIPATNAM - 5122,Pedapatnam,Soil Health Card RKVY,2025-26,0,0,100,2.44,14.63,82.93,0,0,100,26.83,53.66,19.51,17.07,0,82.93,100,0,100,0,21.95,78.05,4.88,95.12,56.1,43.9,65.85,34.15,100,0
Pedayadara,KRISHNA,MACHILIPATNAM - 5122,Pedayadara,Soil Health Card RKVY,2025-26,0,0,100,0,30.49,69.51,0,0,100,17.07,52.44,30.49,0,0,100,95.12,4.88,100,0,12.2,87.8,4.88,95.12,100,0,48.78,51.22,25.61,74.39
Pothepalle,KRISHNA,MACHILIPATNAM - 5122,Pothepalle,Soil Health Card RKVY,2025-26,0,0,100,0,25,75,0,0,100,35,50,15,0,0,100,90,10,100,0,25,75,0,100,100,0,80,20,25,75
Potlapalem,KRISHNA,MACHILIPATNAM - 5122,Potlapalem,Soil Health Card RKVY,2025-26,0,0,100,5.88,5.88,88.24,0,0,100,5.88,52.94,41.18,0,0,100,58.82,41.18,100,0,64.71,35.29,0,100,70.59,29.41,0,100,0,100
Rudravaram,KRISHNA,MACHILIPATNAM - 5122,Rudravaram,Soil Health Card RKVY,2025-26,0,0,100,0,27.78,72.22,0,0,100,44.44,44.44,11.11,0,0,100,100,0,100,0,5.56,94.44,2.78,97.22,61.76,38.24,2.78,97.22,0,100
Sultanagaram,KRISHNA,MACHILIPATNAM - 5122,Sultanagaram,Soil Health Card RKVY,2025-26,0,0,100,0,18.42,81.58,0,0,100,18.42,36.84,44.74,0,0,100,92.11,7.89,100,0,18.42,81.58,15.79,84.21,36.84,63.16,39.47,60.53,15.79,84.21
Sultannagaram Gollapalem,KRISHNA,MACHILIPATNAM - 5122,Sultannagaram Gollapalem,Soil Health Card RKVY,2025-26,0,0,100,6.9,31.03,62.07,0,0,100,51.72,24.14,24.14,0,0,100,89.66,10.34,100,0,31.03,68.97,20.69,79.31,82.76,17.24,0,100,0,100
Tallapalem,KRISHNA,MACHILIPATNAM - 5122,Tallapalem,Soil Health Card RKVY,2025-26,0,0,100,2.47,37.04,60.49,0,0,100,43.21,37.04,19.75,4.94,0,95.06,100,0,98.77,1.23,3.7,96.3,9.88,90.12,98.77,1.23,28.4,71.6,59.26,40.74
Tavisipudi,KRISHNA,MACHILIPATNAM - 5122,Tavisipudi,Soil Health Card RKVY,2025-26,0,0,100,2.38,21.43,76.19,0,0,100,33.33,52.38,14.29,21.43,0,78.57,85.71,14.29,95.24,4.76,0,100,0,100,85.71,14.29,0,100,100,0
